parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.12587782208632,7.721953920736269e-08
cy0,min,2,17.57979933499893,1.83807671305658e-08
cy0,min,3,-18.036950808190824,2.2746575112364553e-07
cy0,min,4,-34.65787642296243,5.3322040116654534e-09
cy0,min,5,-11.40994958238651,-2.039306856715939e-08
cy0,min,6,-30.43492664864855,3.8212434105844295e-08
cy0,min,7,2.1226810838645145,-9.50141174627106e-08
cy0,min,8,-32.98156890774348,-1.1272618394286837e-09
cy0,min,9,-5.173835957179477,-4.415344534436372e-08
cy0,min,10,-17.907422513559187,2.127325871015273e-08
cy0,min,11,-5.594430246936938,1.5512488094060473e-07
cy0,min,12,-28.813026586656324,-4.35971507783961e-08
cy0,min,13,-4.461001425243858,-3.092175671071118e-08
cy0,min,14,-31.563943628033915,-9.470784689824541e-08
cy0,min,15,18.519835225861595,-7.774044519237577e-09
cy0,min,16,-40.20727617209878,2.144941717574511e-07
cy0,min,17,-1.337480066196953,-2.9153502723033853e-08
cy0,min,18,-31.614408747129882,-3.909157086923187e-08
cy0,min,19,-3.0449193627343454,3.098700851467129e-07
cy0,min,20,-34.91329469295553,4.2314182735481154e-07
cy0,min,21,-3.6984081780023366,-1.5878075476649656e-07
cy0,min,22,-37.31352399025769,1.9271755746785857e-07
cy0,min,23,-3.6340885473108275,-5.033043226632117e-08
cy0,min,24,-39.73215954851156,2.9153696345929347e-08
cy0,min,25,-3.3559960534966673,-5.531781521739276e-08
cy0,min,26,-41.78423745942728,-2.3690041928148275e-08
cy0,min,27,-2.704268914479235,-1.0052295751350471e-07
cy0,min,28,-43.53937523410191,-3.2447736941776384e-08
cy0,min,29,-1.726703820910418,7.647245503505928e-08
cy0,min,30,-44.99703388240397,9.807327785438247e-07
cy0,min,31,-0.4405885163011168,5.647165340350035e-07
cy0,min,32,-45.09160441293572,3.5439420287275425e-07
cy0,min,33,1.3517840751003471,1.0043681086813194e-07
cy0,min,34,-46.23881153470268,2.1228076008128482e-07
cy0,min,35,127.2452797614757,1.1308378589092172e-07
cy0,min,36,-81.53677495170068,1.336962327513902e-07
cy0,min,37,22.902980786972613,2.979664692759343e-07
cy0,min,38,-24.46749189556693,8.954728158983016e-08
cy0,min,39,15.781528726318868,1.789238837091034e-07
cy0,min,40,-30.16587474348204,-1.8191986583815378e-07
cy0,min,41,13.476262400543616,6.859708765460937e-07
cy0,min,42,-32.72518254242328,6.9067759511654e-08
cy0,min,43,13.396088718703567,1.3655601094342273e-07
cy0,min,44,-33.451138310884104,6.698950940631221e-07
cy0,min,45,14.512569332597838,6.660981917150366e-07
cy0,min,46,-33.1042822857224,3.632448652979292e-08
cy0,min,47,16.23749553672688,3.3046684677628946e-07
cy0,min,48,-32.11288423118481,6.267019614369929e-07
cy0,min,49,18.236231311057,-2.2035384716900808e-07
cy0,min,50,-30.723862648558917,-2.0583180670996626e-07
cy0,min,total,-887.4599449988863,6.6005896997012314e-06
cy0,max,1,-224.12587802033912,-1.2103325275347743e-07
cy0,max,2,17.579799181941862,-1.346763021103925e-07
cy0,max,3,-18.036950817685465,2.1797110960619648e-07
cy0,max,4,-34.6578765382134,-1.09918765645034e-07
cy0,max,5,-11.40994946790671,9.408673129485123e-08
cy0,max,6,-30.434926622914247,6.394673590648381e-08
cy0,max,7,2.122681120042406,-5.8836226113356815e-08
cy0,max,8,-32.981568828898,7.77182194156012e-08
cy0,max,9,-5.173835957361614,-4.433558231653478e-08
cy0,max,10,-17.9074225078472,2.698524426136828e-08
cy0,max,11,-5.594430438632612,-3.65707935046089e-08
cy0,max,12,-28.8130267091826,-1.6612342790267576e-07
cy0,max,13,-4.461001426600521,-3.227841904873685e-08
cy0,max,14,-31.563943620065075,-8.67390070879992e-08
cy0,max,15,18.51983528725241,5.3616769690734145e-08
cy0,max,16,-40.2072761541056,2.324873520365145e-07
cy0,max,17,-1.3374800247483156,1.2295134688145026e-08
cy0,max,18,-31.614408712747295,-4.708983425416591e-09
cy0,max,19,-3.0449193161603696,3.5644406093382486e-07
cy0,max,20,-34.913294678983085,4.3711427366588396e-07
cy0,max,21,-3.6984081141134126,-9.489183083744024e-08
cy0,max,22,-37.313523893457806,2.895174446848614e-07
cy0,max,23,-3.634088342954551,1.5402584407908648e-07
cy0,max,24,-39.7321594772848,1.0038045417104513e-07
cy0,max,25,-3.355996306457544,-3.082786919073044e-07
cy0,max,26,-41.784237486104324,-5.036708472516693e-08
cy0,max,27,-2.7042687918115367,2.2144740707830124e-08
cy0,max,28,-43.539375957250996,-7.555968224437493e-07
cy0,max,29,-1.72670357200538,3.253774929490305e-07
cy0,max,30,-44.99703432354656,5.395901894189592e-07
cy0,max,31,-0.4405886750981085,4.05919542312283e-07
cy0,max,32,-45.091604500235555,2.6709437150884696e-07
cy0,max,33,1.3517840129227352,3.8259198920087556e-08
cy0,max,34,-46.23881133314808,4.1383535887007383e-07
cy0,max,35,127.24527973017946,8.17875474012908e-08
cy0,max,36,-81.53677470750638,3.7789052953485225e-07
cy0,max,37,22.902980453411157,-3.559498651384274e-08
cy0,max,38,-24.467491619447618,3.6566659389336564e-07
cy0,max,39,15.781528674209817,1.26814832412947e-07
