parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.23587984923324,4.889641047611804e-07
cy0,min,2,17.613842814196044,9.506439013762247e-08
cy0,min,3,-17.288057419946544,-6.793147022676749e-08
cy0,min,4,-32.11180220784297,-5.552507644779325e-07
cy0,min,5,-8.712349688156515,-1.1767241403504158e-07
cy0,min,6,-27.39405991396084,6.58768612993299e-08
cy0,min,7,4.556554386991597,-1.2221555589775335e-07
cy0,min,8,-30.21689772011635,-5.6978038287525123e-08
cy0,min,9,-3.1152637208996157,1.1730529658748878e-07
cy0,min,10,-15.841858608464666,-1.721366338358621e-08
cy0,min,11,-4.136829428462896,-1.658877666343983e-07
cy0,min,12,-27.160457373018055,-1.2520850134478678e-07
cy0,min,13,-3.4205002335477794,1.1103124686329124e-07
cy0,min,14,-30.118505750430252,3.025667538736343e-08
cy0,min,15,19.510185335600678,5.215921561330106e-08
cy0,min,16,-38.20301310056727,1.1309599301512208e-07
cy0,min,17,0.11909549515613133,8.311327283627712e-07
cy0,min,18,-30.05876854943468,-2.8687032127550083e-07
cy0,min,19,-2.1635458528107283,1.0046762990434388e-06
cy0,min,20,-33.491564023067006,5.771292848066878e-07
cy0,min,21,-2.7397959282078657,-2.7288905890543447e-07
cy0,min,22,-35.68794179112954,-1.4170328910267926e-07
cy0,min,23,-2.475668162277704,5.104998930249849e-07
cy0,min,24,-37.84807642232199,-2.8533144558196e-07
cy0,min,25,-1.9830041645273306,-1.1132688104709132e-07
cy0,min,26,-39.660016718629805,7.253450746702583e-07
cy0,min,27,-1.1517520690716716,-1.281197925528943e-07
cy0,min,28,-41.21598269319197,9.252569910245256e-07
cy0,min,29,-0.03510349505254351,1.674351930436302e-07
cy0,min,30,-42.511367661605846,-1.4772235346072193e-07
cy0,min,31,1.3575136083976251,9.946359202928079e-08
cy0,min,32,-42.56504428615711,5.953038453299087e-07
cy0,min,33,3.140088000956151,-6.603302082908158e-08
cy0,min,34,-43.63927872969275,-5.371454392388841e-09
cy0,min,35,129.09409363334404,-3.0793046335020335e-08
cy0,min,36,-76.38352375240059,-1.2121876125092967e-07
cy0,min,37,26.680256818183533,-2.4625709826864295e-07
cy0,min,38,-22.48617030168214,4.465098086825492e-07
cy0,min,39,15.83759460617443,6.297530870114088e-07
cy0,min,40,-29.749761057822216,-5.162889138432547e-08
cy0,min,41,13.258278907002037,1.9323923794445363e-07
cy0,min,42,-31.94890799187793,1.1490457936247367e-06
cy0,min,43,13.736213112238632,1.9664473249747516e-07
cy0,min,44,-32.07822869495764,6.047516976082079e-07
cy0,min,45,15.361419697451183,-2.491571251539426e-07
cy0,min,46,-31.307793089794803,-3.402495210025336e-07
cy0,min,47,17.393093598265374,2.747394951541082e-07
cy0,min,48,-30.08936353671987,-1.205495401279677e-07
cy0,min,49,19.53154044179867,3.197392359766127e-07
cy0,min,50,-28.614073527995032,-2.7644709277296897e-07
cy0,min,total,-804.6504370593195,6.214392897163634e-06
cy0,max,1,-224.23587963656144,7.016359120370907e-07
cy0,max,2,17.613842177120837,-5.420108166731552e-07
cy0,max,3,-17.28805748352146,-1.315063862250554e-07
cy0,max,4,-32.11180228066114,-6.280689319737576e-07
cy0,max,5,-8.712349708824611,-1.383405106025748e-07
cy0,max,6,-27.394060105771707,-1.259340045578483e-07
cy0,max,7,4.556554566899042,5.769188859972019e-08
cy0,max,8,-30.216897406541474,2.56596837999723e-07
cy0,max,9,-3.1152637162672336,1.2193767862100913e-07
cy0,max,10,-15.841858558093534,3.315746788246088e-08
cy0,max,11,-4.1368292992481575,-3.66730281697869e-08
cy0,max,12,-27.160457334023675,-8.621412206366585e-08
cy0,max,13,-3.4205000267277668,3.178512595347627e-07
cy0,max,14,-30.118505795704444,-1.501751611954205e-08
cy0,max,15,19.510185137493735,-1.4594772679288326e-07
cy0,max,16,-38.20301297993341,2.3372984969682875e-07
cy0,max,17,0.11909551478007518,8.507566722215643e-07
cy0,max,18,-30.058768614653086,-3.520887261743155e-07
cy0,max,19,-2.1635463303155404,5.271714869081734e-07
cy0,max,20,-33.49156352141041,1.078785878405597e-06
cy0,max,21,-2.739796552173198,-8.968543911969107e-07
cy0,max,22,-35.687943588424275,-1.9389980252526584e-06
cy0,max,23,-2.4756708326006844,-2.1598230874886326e-06
cy0,max,24,-37.84807576699721,3.6999333019593905e-07
cy0,max,25,-1.98300389863856,1.5456188950935257e-07
cy0,max,26,-39.660020376989486,-2.9330146062989115e-06
cy0,max,27,-1.151753635356782,-1.6944049030520603e-06
cy0,max,28,-41.2159826038491,1.0145998601274187e-06
cy0,max,29,-0.035103264937211165,3.975505253883682e-07
cy0,max,30,-42.511367195078876,3.188046164837033e-07
cy0,max,31,1.3575107595490263,-2.7493850067727976e-06
cy0,max,32,-42.56504501571909,-1.3425813705225664e-07
cy0,max,33,3.1400885047800244,4.377908524588747e-07
cy0,max,34,-43.63927829805385,4.26267440900574e-07
cy0,max,35,129.0940911786967,-2.4854404045981937e-06
cy0,max,36,-76.38352487003807,-1.238856242480324e-06
cy0,max,37,26.68025736652267,3.0208203938286715e-07
cy0,max,38,-22.48617189814766,-1.1499557110994374e-06
cy0,max,39,15.837595187922933,1.2115015888269909e-06
cy0,max,40,-29.749760530567286,4.756260381100219e-07
cy0,max,41,13.258278144870452,-5.688923465640983e-07
cy0,max,42,-31.94890887038717,2.705365531596726e-07
cy0,max,43,13.73621338045275,4.648588500799633e-07
cy0,max,44,-32.07822825749009,1.0422192460168844e-06
cy0,max,45,15.361418431502072,-1.5151062360274636e-06
cy0,max,46,-31.307794826415886,-2.0768706043838847e-06
cy0,max,47,17.393093312179136,-1.1346742212481331e-08
cy0,max,48,-30.0893629324383,4.837320304318382e-07
cy0,max,49,19.531541091760378,9.697009453191185e-07
cy0,max,50,-28.61407302601523,2.2553270895286914e-07
cy0,max,total,-804.6504542840473,-1.1010334901584429e-05
clay,min,1,-224.334382287998,-0.09850194980066362
clay,min,2,17.60952946358534,-0.004313255546314565
clay,min,3,-17.355956532027214,-0.0678991800121409
clay,min,4,-32.17037992157402,-0.05857826898181173
clay,min,5,-9.02698084258449,-0.31463127210038877
clay,min,6,-27.339618462046715,0.054441517790987604
clay,min,7,4.610780850413189,0.054226341206035755
clay,min,8,-29.694840423184424,0.5220572399538881
clay,min,9,-2.7080677531664765,0.40719608503843574
clay,min,10,-14.986770475108079,0.8550881161429231
clay,min,11,-3.403142102450922,0.7336871601242074
clay,min,12,-26.11425314160095,1.0462041062086023
clay,min,13,-2.5591036509660943,0.861396693612932
clay,min,14,-28.941145498957955,1.1773602817289728
clay,min,15,20.423670149594773,0.9134848661533113
clay,min,16,-36.963279930755284,1.2397332829079772
clay,min,17,0.9634163364854746,0.8443216724620717
clay,min,18,-28.779705121346655,1.279063141217705
clay,min,19,-1.1212433925916425,1.0423034648953848
clay,min,20,-32.11983302420349,1.3717315759928042
clay,min,21,-1.7047551218055705,1.0350405335132362
clay,min,22,-34.34481520831642,1.3431264411098311
clay,min,23,-1.4823938193737787,0.9932748534038183
clay,min,24,-36.49450021357144,1.3535759234191005
clay,min,25,-0.9898163299612004,0.9931877232392492
clay,min,26,-38.26984836811595,1.3901690758589282
clay,min,27,-0.13313649867545818,1.0186154422764209
clay,min,28,-39.76512456475159,1.4508590536973713
clay,min,29,1.028341733013809,1.0634453955015455
clay,min,30,-40.984713408248496,1.5266541056349965
clay,min,31,2.476545008330624,1.1190314993965909
clay,min,32,-41.02398240908372,1.5410624723772344
clay,min,33,4.288776634580617,1.1486885675914449
clay,min,34,-42.00413679863381,1.6351419256874848
clay,min,35,130.29904290353446,1.204949239397365
clay,min,36,-74.56523344123718,1.8182901899446478
clay,min,37,27.50013611327149,0.8198790488308596
clay,min,38,-20.581469578931983,1.9047011692599654
clay,min,39,17.63477459733432,1.797180620912977
clay,min,40,-27.557572530166127,2.192188476027198
clay,min,41,14.8745597069116,1.6162809931488002
clay,min,42,-30.08568949385403,1.8632196470696947
clay,min,43,14.99415450774391,1.2579415921500097
clay,min,44,-30.51122714965679,1.567002150052545
clay,min,45,16.376943285916628,1.01552333930832
clay,min,46,-29.90807940269373,1.3997133468515521
clay,min,47,18.282872122424273,0.8897787988983943
clay,min,48,-28.7663482491702,1.323015167000129
clay,min,49,20.363836926679145,0.8322968046197126
clay,min,50,-27.322924107932245,1.2911491436156943
clay,min,total,-752.3870889149225,52.26335435878991
clay,max,1,-224.22551019313835,0.01037014505899947
clay,max,2,17.614030223523816,0.0001875043921621966
clay,max,3,-17.285712557209557,0.0023447948055164147
clay,max,4,-32.122596404050164,-0.01079475145795783
clay,max,5,-8.702337284156062,0.0100122863280383
clay,max,6,-27.426456256277447,-0.0323962764397443
clay,max,7,4.526409285913059,-0.030145223294094414
clay,max,8,-30.29584080596774,-0.07894314282942716
clay,max,9,-3.177806796953991,-0.06254295874907889
clay,max,10,-15.948236880724885,-0.1063782894738825
clay,max,11,-4.225537641228358,-0.08870837865322834
clay,max,12,-27.28003717580911,-0.11957992799955619
clay,max,13,-3.516296886804956,-0.09579654222592948
clay,max,14,-30.246915022185192,-0.1284092414982645
clay,max,15,19.412127568676425,-0.09805771476503722
clay,max,16,-38.33909928713213,-0.13608607346886714
clay,max,17,0.025720657864283236,-0.09337400615911973
clay,max,18,-30.196501498116024,-0.13773323555166428
clay,max,19,-2.2723313512064642,-0.10878449371943688
clay,max,20,-33.635435071638966,-0.14387047144267484
