parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.1557706484696,8.403625884056964e-08
cy0,min,2,17.575557970509657,-2.6865865976333225e-08
cy0,min,3,-18.043182347766553,1.754732110725854e-07
cy0,min,4,-34.64439315411799,5.4431630758244864e-08
cy0,min,5,-11.49668789262889,4.860915225890494e-09
cy0,min,6,-30.460158001525166,-7.673963864363031e-08
cy0,min,7,2.0709536692176314,-1.2609543631469933e-07
cy0,min,8,-32.91290801679249,-2.9619151575843716e-08
cy0,min,9,-5.1391165147082685,-3.8755989528738155e-08
cy0,min,10,-17.74971621804761,6.395239893208782e-09
cy0,min,11,-5.4544989449197585,2.6365372995940106e-08
cy0,min,12,-28.57225428136491,7.527978596044704e-08
cy0,min,13,-4.2548155152293115,5.660755419967245e-09
cy0,min,14,-31.251869857624072,-1.0740539124753923e-08
cy0,min,15,18.777217114535645,-4.866612002274451e-08
cy0,min,16,-39.83832246682526,1.1819196998885673e-07
cy0,min,17,-1.0723279437743751,-6.433134913663707e-09
cy0,min,18,-31.238509903988355,-8.076377611132557e-08
cy0,min,19,-2.7232958771248725,6.268396868236437e-08
cy0,min,20,-34.48720152326956,-5.993223339828546e-08
cy0,min,21,-3.35173210113179,1.7207893732162916e-07
cy0,min,22,-36.873251505263056,-3.681129356891688e-08
cy0,min,23,-3.283630086201732,2.4643583618200182e-08
cy0,min,24,-39.278030793639076,1.516099743525956e-07
cy0,min,25,-2.997561492427221,-1.3298164391883915e-07
cy0,min,26,-41.314815126158344,4.818071346335273e-07
cy0,min,27,-2.3352068546297775,1.4389755165211682e-07
cy0,min,28,-43.05034503387477,8.946686520516778e-07
cy0,min,29,-1.3423396018091553,1.9047064503396882e-07
cy0,min,30,-44.483786021287486,2.216601160398568e-07
cy0,min,31,-0.0367910894973934,-1.8453447292454683e-07
cy0,min,32,-44.57168602801189,-8.176551347105487e-08
cy0,min,33,1.7655034573914619,7.437655025199774e-08
cy0,min,34,-45.68596590029807,-4.541189468909579e-08
cy0,min,35,127.68505597747514,4.719340154224483e-07
cy0,min,36,-80.88283401372482,1.3990953107168025e-07
cy0,min,37,23.25129690731528,2.7949467451549026e-07
cy0,min,38,-23.907683932619385,1.4768517431207329e-07
cy0,min,39,16.3355502765735,-5.213831855144235e-08
cy0,min,40,-29.453279136036898,-5.451501294828631e-08
cy0,min,41,14.078573511387901,-1.3326374315170142e-07
cy0,min,42,-32.02066224186258,8.440296994649543e-08
cy0,min,43,13.954658080843688,-1.2845847763287566e-07
cy0,min,44,-32.79975891867745,4.594979330363458e-07
cy0,min,45,15.012909371303287,-1.5206413017665454e-07
cy0,min,46,-32.50366685143577,4.094504717500058e-07
cy0,min,47,16.69140825856916,1.1124137699880521e-07
cy0,min,48,-31.548332481861834,6.928163251984643e-07
cy0,min,49,18.659299183108615,3.376786814612842e-07
cy0,min,50,-30.181830885243947,1.0800471628158448e-07
cy0,min,total,-869.5402354256386,4.704151706391713e-06
cy0,max,1,-224.15577081335942,-8.085356739684357e-08
cy0,max,2,17.5755578615488,-1.3582672409029328e-07
cy0,max,3,-18.04318243579913,8.744063251242551e-08
cy0,max,4,-34.64439307047648,1.3807314047653563e-07
cy0,max,5,-11.496687947415552,-4.99257470920611e-08
cy0,max,6,-30.46015792373209,1.0534364491832093e-09
cy0,max,7,2.070953727374272,-6.793879547828396e-08
cy0,max,8,-32.91290785562921,1.3154413380789265e-07
cy0,max,9,-5.139116544022878,-6.807059893532141e-08
cy0,max,10,-17.7497161530164,7.14264487555738e-08
cy0,max,11,-5.454499020972218,-4.968708644526032e-08
cy0,max,12,-28.572254320388076,3.6256619040386795e-08
cy0,max,13,-4.25481555214763,-3.125756276034508e-08
cy0,max,14,-31.25186993816574,-9.128220668230824e-08
cy0,max,15,18.77721712659998,-3.6601786490564336e-08
cy0,max,16,-39.83832248144974,1.0356749413631405e-07
cy0,max,17,-1.0723279266643635,1.0676876716075867e-08
cy0,max,18,-31.23850966632169,1.569028889036872e-07
cy0,max,19,-2.7232956860098465,2.537989947093422e-07
cy0,max,20,-34.48720152004818,-5.671085290259725e-08
cy0,max,21,-3.3517321316411683,1.4156955918664949e-07
cy0,max,22,-36.87325153958008,-7.112831923450358e-08
cy0,max,23,-3.2836300476011306,6.324418500014417e-08
cy0,max,24,-39.278031206588494,-2.6133944430739575e-07
cy0,max,25,-2.9975614420421817,-8.259660466691798e-08
cy0,max,26,-41.31481517990217,4.280633092434982e-07
cy0,max,27,-2.335207024001166,-2.5473836817724305e-08
cy0,max,28,-43.05034523215474,6.963886818311948e-07
cy0,max,29,-1.342339534716399,2.575634012735861e-07
cy0,max,30,-44.483785909077646,3.3386995568207567e-07
cy0,max,31,-0.036792271291058665,-1.366328138185935e-06
cy0,max,32,-44.57168673538489,-7.891385109815019e-07
cy0,max,33,1.7655024571027362,-9.259121753757427e-07
cy0,max,34,-45.685967519082936,-1.6641967590658169e-06
cy0,max,35,127.68505551565035,1.0109218351317395e-08
cy0,max,36,-80.88283400903246,1.4460188424436637e-07
cy0,max,37,23.251296921965558,2.9414495372748206e-07
cy0,max,38,-23.907683914977593,1.6532696633930755e-07
cy0,max,39,16.335550435365512,1.066536938765239e-07
cy0,max,40,-29.453278934751438,1.4677044646305148e-07
cy0,max,41,14.078573591634512,-5.301713201788516e-08
cy0,max,42,-32.02066313923809,-8.129725372896246e-07
cy0,max,43,13.954658321538702,1.1223653650915821e-07
cy0,max,44,-32.79975903794509,3.402302937161039e-07
cy0,max,45,15.012909613822107,9.04546890723168e-08
cy0,max,46,-32.50366752896225,-2.680760076145816e-07
cy0,max,47,16.691408285094163,1.3776637786122592e-07
cy0,max,48,-31.548332742420307,4.3225785262279715e-07
cy0,max,49,18.65929911409984,2.6866990765483934e-07
cy0,max,50,-30.181830653768543,3.394801204592568e-07
cy0,max,total,-869.5402416179819,-1.4881916285958141e-06
clay,min,1,-224.24497421346993,-0.08920348096407338
clay,min,2,17.575328710848837,-0.00022928652668596783
clay,min,3,-17.912729382004102,0.13045314123566243
clay,min,4,-34.10219673061255,0.5421964779370754
clay,min,5,-11.107443800043525,0.3892440974462801
clay,min,6,-29.811011832048408,0.6491460927371193
clay,min,7,2.5660817193424093,0.4951279240293416
clay,min,8,-32.06472039537169,0.8481875918016542
clay,min,9,-4.510383570891334,0.6287329050609447
clay,min,10,-16.84161713534994,0.9080990890929108
clay,min,11,-4.730689272856599,0.7238096984285329
clay,min,12,-27.596965264988647,0.9752890916560482
clay,min,13,-3.503757544751071,0.7510579761389957
clay,min,14,-30.197975683032418,1.0538941638511155
clay,min,15,19.59379712612047,0.8165799629187056
clay,min,16,-38.57913845364599,1.2591841313712422
clay,min,17,-0.1638750532500559,0.9084528840911843
clay,min,18,-30.04947225551076,1.189037567713818
clay,min,19,-1.8091842266315936,0.9141117131772476
clay,min,20,-33.238841505237076,1.2483599581002522
clay,min,21,-2.392027614383346,0.9597046588273814
clay,min,22,-35.57088793011834,1.3023635383334238
clay,min,23,-2.2858783463339933,0.9977517645113223
clay,min,24,-37.896896733907234,1.3811342113418164
clay,min,25,-1.939480865832826,1.058080493612751
clay,min,26,-39.84816244579132,1.4666531621741612
clay,min,27,-1.212854556343824,1.1223524421835052
clay,min,28,-41.494231423980736,1.5561145045626859
clay,min,29,-0.1528096768231184,1.189530115456682
clay,min,30,-42.83602432125052,1.6477619216970822
clay,min,31,1.221084828584007,1.2578757335469275
