parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.3002737581409,9.382875987284933e-08
cy0,min,2,17.63662535806738,4.878365125193795e-07
cy0,min,3,-16.81296251562151,-1.05978344322466e-07
cy0,min,4,-30.612583764567628,-7.276258173760652e-08
cy0,min,5,-7.354216355676716,-2.8854106481901454e-07
cy0,min,6,-25.98909584247907,-2.2789620857111004e-07
cy0,min,7,5.499940983694185,-1.8747382934947154e-07
cy0,min,8,-29.059455431379902,-9.918319676671672e-08
cy0,min,9,-2.3894851670585906,-2.9522651434632508e-08
cy0,min,10,-15.057368424375662,-3.7720591095080636e-08
cy0,min,11,-3.6582803651904827,2.5598977604346373e-08
cy0,min,12,-26.482209832953483,-2.3512207292242238e-08
cy0,min,13,-3.0703766644646895,1.4137010517778492e-06
cy0,min,14,-29.446547851122975,-3.179898300231798e-07
cy0,min,15,19.926561873790536,-2.1797202265361193e-07
cy0,min,16,-37.12184657037621,6.896785507137793e-07
cy0,min,17,0.8029897107551245,5.7341495773854945e-08
cy0,min,18,-29.325164248629797,-3.1494053231995167e-07
cy0,min,19,-1.8138964791745955,2.869184394516111e-07
cy0,min,20,-32.74729215694659,7.123068712644454e-08
cy0,min,21,-2.2741881654358673,8.394419266366526e-07
cy0,min,22,-34.78856729271353,8.219412421794914e-07
cy0,min,23,-1.8925099007621493,1.399628422049659e-07
cy0,min,24,-36.812534321218735,-2.572641051301616e-07
cy0,min,25,-1.3023470790247424,4.269563156356071e-07
cy0,min,26,-38.51533717467549,7.358693210335332e-09
cy0,min,27,-0.4016181020569392,-3.455710942401602e-07
cy0,min,28,-39.98597681804937,-8.301826497358888e-07
cy0,min,29,0.7655161858235708,5.765856525563606e-08
cy0,min,30,-41.210821056909055,-1.9394089179058938e-07
cy0,min,31,2.1970533548200524,4.0616176777419355e-07
cy0,min,32,-41.25837298261937,-1.8507947885382237e-07
cy0,min,33,3.957673507193838,6.67234197226918e-07
cy0,min,34,-42.28999220107665,6.276291486528862e-08
cy0,min,35,129.9485599128356,-6.673309371763025e-08
