parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.27250804315582,5.115288956858421e-07
cy0,min,2,17.623188667690773,2.8303659505013457e-07
cy0,min,3,-17.084072889810646,-1.179948938556663e-08
cy0,min,4,-31.441971109579843,-1.955577637602346e-07
cy0,min,5,-8.096067557628533,-1.768229314080827e-07
cy0,min,6,-26.712288137257325,-2.995089651847138e-07
cy0,min,7,5.040772133351355,-3.229202931720465e-07
cy0,min,8,-29.607208883233003,-1.4169174988865052e-07
cy0,min,9,-2.7077628690859115,-8.606756907170166e-08
cy0,min,10,-15.382678856843972,-1.8280109870261185e-08
cy0,min,11,-3.830712040100342,1.0544698492154225e-07
cy0,min,12,-26.751567481614053,8.532469664146447e-08
cy0,min,13,-3.175610463912794,4.3909631042282626e-08
cy0,min,14,-29.714883257465797,-3.7479740200296874e-07
cy0,min,15,19.779301869118942,7.391296783509915e-07
cy0,min,16,-37.618395025972,5.807513474564985e-07
cy0,min,17,0.506461703016043,-1.0245380810403049e-07
cy0,min,18,-29.615859782553816,-3.56523912614648e-08
cy0,min,19,-1.9127032492216391,1.100484705585103e-07
cy0,min,20,-33.048786646925116,-3.548964144783895e-08
cy0,min,21,-2.44592138974565,7.548257388023671e-07
cy0,min,22,-35.18126533399006,2.3694292394793592e-07
cy0,min,23,-2.1314568439445716,-6.093706339527216e-08
cy0,min,24,-37.27724115801488,1.5970209688020987e-07
cy0,min,25,-1.5916521607241996,-7.520328493271222e-08
cy0,min,26,-39.03410993806683,3.116396385394182e-08
cy0,min,27,-0.7237715084397589,3.3545751554342473e-07
cy0,min,28,-40.5444561977953,-5.977067019102833e-08
cy0,min,29,0.42152584668971205,-2.7165464100420422e-08
cy0,min,30,-41.80071768626319,1.2240371205507472e-07
cy0,min,31,1.8374610905255373,-4.338976755668966e-08
cy0,min,32,-41.84978788591696,1.4320704622150515e-09
cy0,min,33,3.6129981008507768,1.1894509599486014e-07
cy0,min,34,-42.89896459856711,-2.160748167057136e-07
cy0,min,35,129.58673857747314,-2.663048235262977e-07
cy0,min,36,-74.92620437658067,1.1453209509681983e-06
cy0,min,37,27.58883288312109,-5.3662290611100616e-08
cy0,min,38,-22.02727976059497,1.7156952125674252e-07
cy0,min,39,15.840612811574744,1.7567399090978597e-07
cy0,min,40,-29.519623055262777,-2.2354466722163124e-08
cy0,min,41,13.324348944819295,4.1321801624860655e-07
cy0,min,42,-31.555684081855688,2.139342889506679e-07
cy0,min,43,13.96052410773236,-1.611505595633389e-07
cy0,min,44,-31.55005099866179,-1.2289389417219354e-07
cy0,min,45,15.679067667401855,-8.133192785919618e-08
cy0,min,46,-30.712643400025556,1.0321873133989357e-08
cy0,min,47,17.747902442579665,2.1327281274352572e-08
cy0,min,48,-29.471606589232,-5.117014652000762e-07
cy0,min,49,19.89189043798452,3.691372540970406e-08
cy0,min,50,-27.997528285948945,7.971063809009138e-08
cy0,min,total,-781.7714142600616,2.9850571081624366e-06
cy0,max,1,-224.272507987261,5.67423711572701e-07
cy0,max,2,17.623188574849376,1.901951982574701e-07
cy0,max,3,-17.08407306720182,-1.891906649120756e-07
cy0,max,4,-31.441971006287574,-9.226549479990354e-08
cy0,max,5,-8.096067644244464,-2.634388618361072e-07
cy0,max,6,-26.712288000902177,-1.631538175672631e-07
cy0,max,7,5.040772125519594,-3.3075205418953146e-07
cy0,max,8,-29.607208789043046,-4.75017927215049e-08
cy0,max,9,-2.7077628178155626,-3.479722021637599e-08
cy0,max,10,-15.382678927435116,-8.887125346745961e-08
cy0,max,11,-3.8307117938836974,3.516636293277031e-07
cy0,max,12,-26.75156735561696,2.1132179028882092e-07
cy0,max,13,-3.175610559342824,-5.152039905809147e-08
cy0,max,14,-29.7148830620218,-1.7935340679287037e-07
cy0,max,15,19.779301796423997,6.66434733176402e-07
cy0,max,16,-37.618394818304054,7.884192925189382e-07
cy0,max,17,0.50646178270968,-2.2760171081159797e-08
cy0,max,18,-29.615859483471812,2.6342961234604445e-07
cy0,max,19,-1.9127044599551013,-1.1006849915951022e-06
cy0,max,20,-33.04878647937031,1.3206516769059817e-07
cy0,max,21,-2.445921906435493,2.3813589589138928e-07
cy0,max,22,-35.18126745006357,-1.879130586246447e-06
cy0,max,23,-2.13145892449937,-2.14149186161805e-06
cy0,max,24,-37.2772432463116,-1.9285946208924543e-06
cy0,max,25,-1.5916518161568702,2.6936404440291994e-07
cy0,max,26,-39.03410941335145,5.558793390036953e-07
cy0,max,27,-0.7237728689343315,-1.0250370570119571e-06
cy0,max,28,-40.54445882180874,-2.6837841105020743e-06
cy0,max,29,0.4215263412980481,4.6744287196531786e-07
cy0,max,30,-41.800717721689544,8.697735864870992e-08
cy0,max,31,1.8374615902701685,4.5635486367601175e-07
cy0,max,32,-41.84978785589091,3.145812144111915e-08
cy0,max,33,3.612998340894542,3.5898886130425467e-07
cy0,max,34,-42.89896431573364,6.675865193983554e-08
cy0,max,35,129.5867388446373,8.593303846282652e-10
cy0,max,36,-74.92620464676995,8.751316755706284e-07
cy0,max,37,27.588833009798012,7.30146325622627e-08
cy0,max,38,-22.027279696167113,2.3599737630775053e-07
cy0,max,39,15.840612936422886,3.0052213340070466e-07
cy0,max,40,-29.51962297461859,5.828972149402034e-08
cy0,max,41,13.324349076744316,5.451430364900034e-07
cy0,max,42,-31.555684201399146,9.439083115125868e-08
cy0,max,43,13.960524375699254,1.0681633533238255e-07
cy0,max,44,-31.55005074677304,1.2899485568595992e-07
cy0,max,45,15.67906786504215,1.1630836738163453e-07
cy0,max,46,-30.712643414347173,-3.99974453557661e-09
cy0,max,47,17.747902666643622,2.4539123799627305e-07
cy0,max,48,-29.47160631424225,-2.3671171689443327e-07
cy0,max,49,19.891890623177208,2.221064114849014e-07
cy0,max,50,-27.997528281488933,8.417065089361131e-08
cy0,max,total,-781.7714209187088,-3.673590072139632e-06
clay,min,1,-224.35408184117261,-0.0815732864878953
clay,min,2,17.617081116416138,-0.006107268238039865
clay,min,3,-17.21578742742448,-0.13171454941332428
clay,min,4,-31.704822785084406,-0.26285187106232755
clay,min,5,-8.554891783423212,-0.45882440261761026
clay,min,6,-26.814927733417786,-0.10263989566942655
clay,min,7,5.011028187523554,-0.029744268748094882
clay,min,8,-29.23395607006242,0.37325267147883423
clay,min,9,-2.385471648624339,0.32229113439400336
clay,min,10,-14.659425519168831,0.723253319395031
clay,min,11,-3.18973737627012,0.6409747692772068
clay,min,12,-25.858930406324244,0.8926371606145054
clay,min,13,-2.4186102596936068,0.757000248128818
clay,min,14,-28.719159995796968,0.9957228868714267
clay,min,15,20.558122897981654,0.7788217679923903
clay,min,16,-36.63618246557901,0.9822131411443351
clay,min,17,1.1781654692716614,0.6717036638018103
clay,min,18,-28.544479065476065,1.0713806814253601
clay,min,19,-1.0140977331672483,0.8986056261028614
clay,min,20,-31.906573081882275,1.1422135295531994
clay,min,21,-1.582666524757462,0.863255619813927
clay,min,22,-34.09531021107283,1.085955359860158
clay,min,23,-1.3272646273759219,0.8041921556315863
clay,min,24,-36.20226597470018,1.0749753430167956
clay,min,25,-0.8016662961872423,0.7899857893336724
clay,min,26,-37.94017909511624,1.0939308741145481
clay,min,27,0.08045161224761577,0.8042234561448902
clay,min,28,-39.406077034165406,1.1383791038592221
clay,min,29,1.2597976845052226,0.8382718106500464
clay,min,30,-40.602956528534136,1.1977612801327666
clay,min,31,2.7201357785016773,0.8826746445863725
clay,min,32,-40.64118137248323,1.2086065148657994
clay,min,33,4.524508869260569,0.9115108873548885
clay,min,34,-41.61312302663975,1.285841355852547
clay,min,35,130.54005154345967,0.9533126996817032
clay,min,36,-73.70495437602644,1.2212511458751862
clay,min,37,28.067039773863886,0.4782068370805064
clay,min,38,-20.34674838077711,1.6805315513873786
clay,min,39,17.523425179179203,1.68281254327845
clay,min,40,-27.577966710481522,1.9416563224267875
clay,min,41,14.740800558845107,1.4164520272438281
clay,min,42,-30.022312776129024,1.5333715196609532
clay,min,43,14.97033153734823,1.0098072684653108
clay,min,44,-30.337919583094738,1.2121312926731562
clay,min,45,16.442007358634466,0.762939609900684
clay,min,46,-29.663856009052566,1.048787401294863
clay,min,47,18.39619029089584,0.6482878696434575
clay,min,48,-28.488377411363825,0.9832286661667098
clay,min,49,20.495285387254444,0.6033949861836483
clay,min,50,-27.03564855715537,0.9618798085042144
clay,min,total,-740.4771864424916,41.29423080262711
clay,max,1,-224.24529597731353,0.027212577371187763
clay,max,2,17.62054083096824,-0.0026475536859393856
clay,max,3,-17.140607087365538,-0.056534209354381915
clay,max,4,-31.657497733185117,-0.2155268191630384
clay,max,5,-8.264144185513398,-0.1680768047077965
clay,max,6,-26.968998561644387,-0.25671072389602756
clay,max,7,4.846090874434601,-0.1946815818370471
clay,max,8,-29.91623714126889,-0.3090283997276373
clay,max,9,-2.929524966633562,-0.2217621836152195
clay,max,10,-15.688726742812182,-0.3060479042483202
clay,max,11,-4.06155450801094,-0.23084236246361334
clay,max,12,-27.060967243127813,-0.30939967618906294
clay,max,13,-3.3972209904006547,-0.2216104825782299
clay,max,14,-30.03462681604595,-0.3197439333775556
clay,max,15,19.548843183535208,-0.23045794645405593
clay,max,16,-38.002372490763435,-0.3839768840400879
clay,max,17,0.24940350695268476,-0.25705829851716633
clay,max,18,-29.96043947288372,-0.344579725982296
clay,max,19,-2.15319098168464,-0.24048762241453048
clay,max,20,-33.40139498726254,-0.3526083758270673
clay,max,21,-2.693821388314511,-0.247899243743122
clay,max,22,-35.546916285121,-0.3656507141880141
clay,max,23,-2.3876381044365047,-0.2561813214289965
clay,max,24,-37.664881439757224,-0.38764012204024567
clay,max,25,-1.8630182857845958,-0.2713662002636812
clay,max,26,-39.44563788979518,-0.4115279205643887
clay,max,27,-1.0111762430950013,-0.28740439919772687
clay,max,28,-40.98039416377956,-0.435938025754929
clay,max,29,0.1180819352865008,-0.30344393856867535
clay,max,30,-42.260764446930786,-0.4600466382638828
clay,max,31,1.5186074787611705,-0.31885365515413433
clay,max,32,-42.312617514216655,-0.46282962686762374
clay,max,33,3.2931161745823183,-0.31988180732336247
clay,max,34,-43.38248784361998,-0.48352346112768174
clay,max,35,129.25422078134125,-0.3325180624367192
clay,max,36,-75.67269079744428,-0.7464852755426534
clay,max,37,27.17119783991885,-0.4176350968645295
clay,max,38,-22.474259994279414,-0.4469800621149247
clay,max,39,15.5757409142925,-0.26487172160825345
clay,max,40,-29.90635924791908,-0.38673621501077093
clay,max,41,13.09331310935112,-0.23103542225015872
clay,max,42,-31.928839450900178,-0.3731551551102008
clay,max,43,13.73958401418947,-0.22094025469344913
clay,max,44,-31.92178774531983,-0.37173686955193475
clay,max,45,15.461361685698808,-0.2177060630349743
clay,max,46,-31.085533757049213,-0.37289034670178367
clay,max,47,17.53247112219731,-0.21543129905507286
clay,max,48,-29.844377789806106,-0.37277171227557204
clay,max,49,19.680235904427164,-0.21165449664363223
clay,max,50,-28.367317076069252,-0.36978871040966865
clay,max,total,-796.9305099936175,-15.159092748498779
temp_ci_delta,min,1,-224.24959275297994,0.02291580170478369
temp_ci_delta,min,2,17.61516322389409,-0.008025160760087857
temp_ci_delta,min,3,-17.257339564794428,-0.17326668678327195
temp_ci_delta,min,4,-31.996127350243626,-0.5541564362215468
temp_ci_delta,min,5,-8.61919271287068,-0.5231253320650779
temp_ci_delta,min,6,-27.25763791070139,-0.5453500729530312
temp_ci_delta,min,7,4.660181063274999,-0.38059139299664935
temp_ci_delta,min,8,-30.05683359532884,-0.44962485378758643
temp_ci_delta,min,9,-2.999866495604675,-0.2921037125863326
temp_ci_delta,min,10,-15.68573393585692,-0.3030550972930577
temp_ci_delta,min,11,-4.018835724854659,-0.18812357930733237
temp_ci_delta,min,12,-27.003374201550272,-0.25180663461152264
temp_ci_delta,min,13,-3.3076621641861728,-0.13205165636374794
temp_ci_delta,min,14,-29.956229483903897,-0.24134660123550233
temp_ci_delta,min,15,19.628197918996698,-0.15110321099256652
temp_ci_delta,min,16,-38.00622885402075,-0.3878332472974009
temp_ci_delta,min,17,0.25291148686385156,-0.2535503186059995
temp_ci_delta,min,18,-29.882692139619575,-0.2668323927181504
temp_ci_delta,min,19,-2.0400259653619557,-0.12732260609184598
temp_ci_delta,min,20,-33.31144547919182,-0.2626588677563433
temp_ci_delta,min,21,-2.6114694858760323,-0.16554734130464333
temp_ci_delta,min,22,-35.49989119599529,-0.3186256250623032
temp_ci_delta,min,23,-2.3418728744642547,-0.21041609145674656
temp_ci_delta,min,24,-37.647804401709095,-0.370563083992117
temp_ci_delta,min,25,-1.8404949278593001,-0.2488428423383855
temp_ci_delta,min,26,-39.44679605689661,-0.4126860876658185
temp_ci_delta,min,27,-1.0003378435730816,-0.2765659996758072
temp_ci_delta,min,28,-40.989755744199336,-0.4452996061747072
temp_ci_delta,min,29,0.12505845796401038,-0.29646741589116576
temp_ci_delta,min,30,-42.2723997246037,-0.47168191593679865
temp_ci_delta,min,31,1.5260304693261015,-0.3114306645892033
temp_ci_delta,min,32,-42.324176173286865,-0.47438828593783455
temp_ci_delta,min,33,3.3094411392997327,-0.30355684260594806
temp_ci_delta,min,34,-43.387596784126146,-0.4886324016338506
temp_ci_delta,min,35,129.27043262785213,-0.3163062159258345
temp_ci_delta,min,36,-75.99263976595842,-1.0664342440567935
temp_ci_delta,min,37,26.907237569376026,-0.681595367407354
temp_ci_delta,min,38,-22.2552650080948,-0.22798507593030948
temp_ci_delta,min,39,15.973141151280439,0.13252851537968624
temp_ci_delta,min,40,-29.552986892121925,-0.0333638592136154
temp_ci_delta,min,41,13.378859581240345,0.054511049639065945
temp_ci_delta,min,42,-31.755045016478775,-0.19936072068879795
temp_ci_delta,min,43,13.855620629364557,-0.10490363951836201
temp_ci_delta,min,44,-31.881927958135932,-0.33187708236803815
