parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.27145324302987,2.2586030468119134e-07
cy0,min,2,17.625201235620846,2.769736688890134e-07
cy0,min,3,-17.041456773659565,1.3628890727090948e-07
cy0,min,4,-31.31986512634382,-1.2726834341947324e-07
cy0,min,5,-7.974538754019088,-3.6865452557321987e-07
cy0,min,6,-26.615430252982115,-4.517733742659402e-09
cy0,min,7,5.098859881458957,-1.9799512518403617e-07
cy0,min,8,-29.56163196832737,-1.7482897618492643e-07
cy0,min,9,-2.6882593799122025,-9.417280244505832e-08
cy0,min,10,-15.385569697039722,-1.755431959793441e-07
cy0,min,11,-3.847534052326519,1.5769620453909283e-07
cy0,min,12,-26.77012257820641,-2.2952508516027592e-07
cy0,min,13,-3.206390263470065,-1.6868286323301618e-08
cy0,min,14,-29.738149814017486,5.0159957964979185e-08
cy0,min,15,19.75404413320755,8.380272475960737e-08
cy0,min,16,-37.6103406799358,-1.794250437114897e-07
cy0,min,17,0.5075544031809149,1.31588011131889e-06
cy0,min,18,-29.639223048527775,2.839315094149697e-07
cy0,min,19,-1.9500054920056265,1.3993062708550497e-06
cy0,min,20,-33.07402946801707,-2.808388686048602e-07
cy0,min,21,-2.470732679150512,-2.106679142244161e-08
cy0,min,22,-35.19062388123267,1.695895761599786e-07
cy0,min,23,-2.143508104042403,-7.11339964709623e-09
cy0,min,24,-37.27620077734309,1.3971912693477861e-07
cy0,min,25,-1.5959801876318678,-2.4940460807698628e-08
cy0,min,26,-39.02691384906364,1.334620307602563e-07
cy0,min,27,-0.7244029182039693,-4.0412278412560454e-08
cy0,min,28,-40.534469755630205,1.2765740819986604e-07
cy0,min,29,0.4220472303989006,-5.11384995460773e-08
cy0,min,30,-41.78981760956084,1.1423725965187259e-07
cy0,min,31,1.8378053573245001,-5.4598592313936933e-08
cy0,min,32,-41.83900146958566,1.0721129228841164e-07
cy0,min,33,3.61013320388466,-6.41374895415936e-08
cy0,min,34,-42.88984802481707,9.65958761867114e-08
cy0,min,35,129.58433329961846,-7.083920650075015e-08
cy0,min,36,-74.80013764543273,8.448984090136946e-08
cy0,min,37,27.68084889337517,-7.369768084686257e-08
cy0,min,38,-22.10638526479216,3.9155215958430745e-07
cy0,min,39,15.701388172767704,-9.285328950170424e-08
cy0,min,40,-29.633434568621734,8.887508116117715e-07
cy0,min,41,13.233856819295896,6.252860469402322e-07
cy0,min,42,-31.602143960846746,-8.379549853998469e-08
cy0,min,43,13.929702342740296,-1.2739008070639102e-07
cy0,min,44,-31.55142996278971,-2.5730063413220705e-08
cy0,min,45,15.679039639743415,-1.3429599832193162e-07
cy0,min,46,-30.694456504599785,2.0696429814393014e-07
cy0,min,47,17.759268963702784,2.805304220032667e-07
cy0,min,48,-29.447554083690207,2.991542764618771e-07
cy0,min,49,19.90557406188324,-2.596038903845965e-07
cy0,min,50,-27.973419940156298,1.022804923422882e-06
cy0,min,total,-781.6548041408084,5.636653781948553e-06
cy0,max,1,-224.27145324847172,2.2041845681997074e-07
cy0,max,2,17.62520092604353,-3.2603647781570544e-08
cy0,max,3,-17.041456918702668,-8.75419559065449e-09
cy0,max,4,-31.319865362454156,-3.6337867825864123e-07
cy0,max,5,-7.974538411963559,-2.6598996782922768e-08
cy0,max,6,-26.615430223775036,2.46893456790076e-08
cy0,max,7,5.098859929042902,-1.504111803996011e-07
cy0,max,8,-29.561631899303194,-1.0580480136468395e-07
cy0,max,9,-2.688259256844371,2.889502903613561e-08
cy0,max,10,-15.385569532050184,-1.055365750346482e-08
cy0,max,11,-3.847534060253392,1.4976933160326666e-07
cy0,max,12,-26.77012237269286,-2.401153409437029e-08
cy0,max,13,-3.2063902676003724,-2.0998593530663356e-08
cy0,max,14,-29.73815017662684,-3.124493943573725e-07
cy0,max,15,19.75404426424053,2.1483570478153524e-07
cy0,max,16,-37.61034112774253,-6.27231770522485e-07
cy0,max,17,0.5075548694158574,1.782115053750033e-06
cy0,max,18,-29.639223592345044,-2.598857591351589e-07
cy0,max,19,-1.9500052388209932,1.6524909041137903e-06
cy0,max,20,-33.07402902418333,1.6299487270998725e-07
cy0,max,21,-2.4707347038477954,-2.045764074587453e-06
cy0,max,22,-35.190623930192025,1.2063021870289958e-07
cy0,max,23,-2.143508121192224,-2.4263220765874394e-08
cy0,max,24,-37.276200779873506,1.3718871372248032e-07
cy0,max,25,-1.5959801829991989,-2.030779189254872e-08
cy0,max,26,-39.026913849294196,1.3323147385335687e-07
cy0,max,27,-0.7244029115542068,-3.3762515894153466e-08
cy0,max,28,-40.534469382101676,5.011859371961691e-07
cy0,max,29,0.4220470849565552,-1.965808449355677e-07
cy0,max,30,-41.789817732784705,-8.986603461380582e-09
cy0,max,31,1.8378052283441653,-1.8357892717091318e-07
cy0,max,32,-41.83900157726477,-4.678142317970924e-10
cy0,max,33,3.6101330960642937,-1.7195785595447433e-07
cy0,max,34,-42.889848109626776,1.1786170261984807e-08
cy0,max,35,129.5843332122552,-1.5820248222553346e-07
cy0,max,36,-74.80013770734057,2.2582000269721902e-08
cy0,max,37,27.680848814955976,-1.5211687554028686e-07
cy0,max,38,-22.10638562919686,2.7147457615228632e-08
cy0,max,39,15.701388125214775,-1.4040621820754495e-07
cy0,max,40,-29.633434858301143,5.990714022630073e-07
cy0,max,41,13.233856792095096,5.980852471054732e-07
cy0,max,42,-31.602143929757524,-5.2706276676417474e-08
cy0,max,43,13.929702338897261,-1.3123311504159574e-07
cy0,max,44,-31.551429978964094,-4.1904446135276885e-08
cy0,max,45,15.679039649528587,-1.245108265379713e-07
cy0,max,46,-30.69445674046703,-2.8902945814479608e-08
cy0,max,47,17.759268561575297,-1.215970648615894e-07
cy0,max,48,-29.44755391598714,4.6685734389484423e-07
cy0,max,49,19.905574122605547,-1.9888158320213734e-07
cy0,max,50,-27.973419812781568,1.150179652853467e-06
cy0,max,total,-781.6548075521216,2.225340608674742e-06
clay,min,1,-224.42107290343677,-0.14961943454659377
clay,min,2,17.64514314298672,0.019942184339541313
clay,min,3,-16.696480392115575,0.3449765178328974
clay,min,4,-30.047761620759644,1.2721033783158333
clay,min,5,-6.995187952885572,0.9793504324789906
clay,min,6,-25.16200405935267,1.4534261891117097
clay,min,7,6.164097850348207,1.0652377708941243
clay,min,8,-27.865452201695128,1.696179591803265
clay,min,9,-1.5146737981382032,1.1735854876011969
clay,min,10,-13.75197341385013,1.6335961076463956
clay,min,11,-2.655764123619423,1.1917700864033005
clay,min,12,-25.13653352491793,1.6335888237633966
clay,min,13,-2.0828840197654586,1.1235062268363203
clay,min,14,-28.05552885562607,1.6826210085513758
clay,min,15,20.922845298648866,1.1688012492440407
clay,min,16,-35.557070242407214,2.053270258103545
clay,min,17,1.8249045916462445,1.317351504345441
clay,min,18,-27.84029911304251,1.7989242194167758
clay,min,19,-0.7529768840805371,1.1970300072313602
clay,min,20,-31.23395515268671,1.8400740344914936
clay,min,21,-1.2300228308697498,1.240709827213971
clay,min,22,-33.27401786102171,1.9166061898005324
clay,min,23,-0.8562905284690796,1.2872175684599236
clay,min,24,-35.23806566466236,2.0381352523998615
clay,min,25,-0.2288653775019318,1.3671147851894752
clay,min,26,-36.86091847725541,2.16599550527026
clay,min,27,0.7238914715453837,1.4482943493370746
clay,min,28,-38.2404356384882,2.2940342447994126
clay,min,29,1.9494718387948922,1.527424557257492
clay,min,30,-39.3709195124484,2.418898211349699
clay,min,31,3.4398078800093717,1.6020024680862792
clay,min,32,-39.4139327020072,2.4250688747897513
clay,min,33,5.207851547710625,1.5977182796884755
clay,min,34,-40.3579986557858,2.531849465627147
clay,min,35,131.24293454337635,1.6586011729186794
clay,min,36,-70.73500301262172,4.06513471730085
clay,min,37,29.82619501592329,2.1453460488504383
clay,min,38,-19.880807476560815,2.225578179783504
clay,min,39,16.873579022478147,1.1721907568571535
clay,min,40,-27.7365787901998,1.8968566671727451
clay,min,41,14.266465182327078,1.0326089883172287
clay,min,42,-29.727933364473586,1.8742105125776618
clay,min,43,14.948519240927734,1.0188167707973577
clay,min,44,-29.65420859535958,1.8972213417000674
clay,min,45,16.699563247836736,1.0205234737973221
clay,min,46,-28.77855230076141,1.9159044108026713
clay,min,47,18.77335421650598,1.014085533333617
clay,min,48,-27.529294853857344,1.9182595289871394
clay,min,49,20.89911845277765,0.9935441312905198
clay,min,50,-26.07217961610943,1.9012413468517906
clay,min,total,-703.54790097299,78.10690880447225
clay,max,1,-224.2517792771103,0.019674191779870398
clay,max,2,17.623046927682445,-0.002154030964732101
clay,max,3,-17.08661724718226,-0.04516033723378854
clay,max,4,-31.488021283644702,-0.16815628456922482
clay,max,5,-8.10774050847242,-0.13320212310785706
clay,max,6,-26.810934749930794,-0.19550450146641296
clay,max,7,4.952288864157343,-0.14657121529673933
clay,max,8,-29.790391732359108,-0.22875993886071555
clay,max,9,-2.850790668557625,-0.1625313828182251
clay,max,10,-15.60746999480079,-0.2219004733042631
clay,max,11,-4.013160883491969,-0.16562667346924576
clay,max,12,-26.992831093265192,-0.22270874458386558
clay,max,13,-3.363792355682661,-0.15740210908088237
clay,max,14,-29.967759690136546,-0.22960982595910195
clay,max,15,19.58991723447013,-0.16412681493469705
clay,max,16,-37.889411894366155,-0.27907139385539637
clay,max,17,0.32195929379706545,-0.18559379350373817
clay,max,18,-29.886394262684256,-0.24717093022497139
clay,max,19,-2.119862513975731,-0.16985562266383392
clay,max,20,-33.32675168232126,-0.252722495143054
clay,max,21,-2.6469424548326517,-0.1762097967489309
clay,max,22,-35.454103855689944,-0.26347980486769984
clay,max,23,-2.326702037105533,-0.18319394017652968
clay,max,24,-37.55643966082605,-0.2802387437638316
clay,max,25,-1.7907138207676345,-0.19473365807622756
clay,max,26,-39.32490356454636,-0.2979895820206906
clay,max,27,-0.9309291279173313,-0.2065262501256404
clay,max,28,-40.85028059391917,-0.31581071063155974
clay,max,29,0.20396525366508333,-0.21808202787231679
clay,max,30,-42.12305212761801,-0.3332344038199082
clay,max,31,1.608753757214235,-0.22905165470885747
clay,max,32,-42.17405905030118,-0.33505747350422865
clay,max,33,3.3808310861141084,-0.2293021819080412
clay,max,34,-43.23960154691049,-0.3497534254975463
clay,max,35,129.3460386882463,-0.23829468221137518
clay,max,36,-75.35204982762036,-0.5519120976977945
clay,max,37,27.3725949101228,-0.3082540569500516
clay,max,38,-22.42057758082031,-0.31419192447599187
clay,max,39,15.52538753984381,-0.1760007257771825
clay,max,40,-29.900850041218437,-0.26741458384589123
clay,max,41,13.078031234403,-0.15582495960684994
clay,max,42,-31.86570912617932,-0.2635652491280709
clay,max,43,13.77592372044039,-0.15377874968998562
clay,max,44,-31.817965812016773,-0.2665358749571247
clay,max,45,15.52489938877511,-0.15414038526430396
