parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.1086008991501,6.970475396883558e-08
cy0,min,2,17.564607127839587,-4.3256132897795396e-08
cy0,min,3,-18.234414917137357,1.802468823086656e-07
cy0,min,4,-35.35473399981572,4.5771948009587504e-08
cy0,min,5,-12.269602641072163,6.18881674796512e-08
cy0,min,6,-31.466076790678112,-1.6051330931077246e-08
cy0,min,7,1.1895250192782272,8.947000607051336e-08
cy0,min,8,-33.99540663090732,3.774403722900388e-08
cy0,min,9,-6.014871314588877,-4.370273032350269e-09
cy0,min,10,-18.712028333958557,3.7085609250198104e-08
cy0,min,11,-6.206183732025839,6.78871794335123e-08
cy0,min,12,-29.417182761952613,-9.651361665419245e-08
cy0,min,13,-4.871864464392071,-5.4237452751237925e-08
cy0,min,14,-32.0150883969703,-7.0666104079464276e-09
cy0,min,15,18.212459604813375,1.432473411000501e-07
cy0,min,16,-40.72692611171687,-2.00792555915541e-08
cy0,min,17,-1.7355209040884279,5.284729809318378e-08
cy0,min,18,-32.01601541651047,-3.169614615217142e-08
cy0,min,19,-3.251381768747207,1.18290952588751e-07
cy0,min,20,-35.20948000015644,2.4458692848838837e-08
cy0,min,21,-3.8681174604924826,1.6885768783225785e-08
cy0,min,22,-37.62502409572549,-3.890506405923588e-08
cy0,min,23,-3.83668552819546,8.515827065735948e-08
cy0,min,24,-40.09994644517086,-1.9580419063913723e-08
cy0,min,25,-3.612358696084699,6.661160067977789e-09
cy0,min,26,-42.2174275517986,-1.8150146274820145e-08
cy0,min,27,-3.0148624401136694,6.904968641308074e-08
cy0,min,28,-44.031439673002524,-1.066864570020698e-07
cy0,min,29,-2.081226474222968,3.0729626265824095e-07
cy0,min,30,-45.536021255023805,4.0027692449484675e-07
cy0,min,31,-0.8266625879105749,-1.3765917517005732e-08
cy0,min,32,-45.64919261025723,-7.458082507127983e-08
cy0,min,33,0.9622547151668874,-5.640538769391412e-08
cy0,min,34,-46.80512719102647,2.0947672396687267e-07
cy0,min,35,126.85402959114843,1.4238494827623072e-08
cy0,min,36,-82.73569580204683,-8.826253861116129e-08
cy0,min,37,21.89474826582589,2.3801317183824722e-07
cy0,min,38,-25.038572937050436,-8.426509268133486e-08
cy0,min,39,15.82393214002816,2.457330516847378e-08
cy0,min,40,-30.05740006727595,2.389721629469932e-07
cy0,min,41,13.827087652982687,-6.101315364048787e-08
cy0,min,42,-32.547300061865336,-8.018823649535989e-08
cy0,min,43,13.688159951663717,3.317830206128747e-07
cy0,min,44,-33.402243081629706,-8.091319614322856e-08
cy0,min,45,14.656065761262937,-6.304533961554171e-08
cy0,min,46,-33.20623936050247,7.928552037128611e-08
cy0,min,47,16.248220141443166,1.7773167826362624e-08
cy0,min,48,-32.329310411200225,-8.127410922043055e-08
cy0,min,49,18.157789743503443,1.1422513424008685e-07
cy0,min,50,-31.009222200708205,-7.498852738763162e-08
cy0,min,total,-906.0565753002159,1.8670165218281909e-06
cy0,max,1,-224.10860107119126,-1.0233640068690875e-07
cy0,max,2,17.564607114015338,-5.708038131047033e-08
cy0,max,3,-18.234414871436556,2.2594768367412144e-07
cy0,max,4,-35.354734156035384,-1.1044771497381589e-07
cy0,max,5,-12.26960262202579,8.09345408470108e-08
cy0,max,6,-31.466076713104208,6.15225737021774e-08
cy0,max,7,1.189524973741828,4.393360697463322e-08
cy0,max,8,-33.99540665573172,1.2919635139496677e-08
cy0,max,9,-6.014871199116868,1.1110173581130312e-07
cy0,max,10,-18.71202841769247,-4.664830299816458e-08
cy0,max,11,-6.206183650918262,1.489947569766059e-07
cy0,max,12,-29.417182706228942,-4.078994564338245e-08
cy0,max,13,-4.871864345023331,6.513128703033999e-08
cy0,max,14,-32.0150884213684,-3.146470817227964e-08
cy0,max,15,18.212459578810524,1.1724448967243006e-07
cy0,max,16,-40.72692611759379,-2.5956175875307963e-08
cy0,max,17,-1.7355209952003574,-3.826463146339165e-08
cy0,max,18,-32.01601539094512,-6.130797203240945e-09
cy0,max,19,-3.251381766199849,1.2083831046894034e-07
cy0,max,20,-35.20948003700183,-1.2386699665967171e-08
cy0,max,21,-3.8681174755839645,1.7942869412479467e-09
cy0,max,22,-37.625024066919835,-1.0099405756136548e-08
cy0,max,23,-3.836685507026693,1.0632703739688054e-07
cy0,max,24,-40.099946444625594,-1.903515567391878e-08
cy0,max,25,-3.612359373016749,-6.702708899020138e-07
cy0,max,26,-42.217427383546394,1.5010206055876552e-07
cy0,max,27,-3.0148625727612273,-6.359787141363427e-08
cy0,max,28,-44.03143948663488,7.968118609369412e-08
cy0,max,29,-2.0812266614214425,1.2009778815880168e-07
cy0,max,30,-45.53602188375196,-2.2845122771286697e-07
cy0,max,31,-0.8266629601200449,-3.859753875401495e-07
cy0,max,32,-45.649192437028304,9.86481012432705e-08
cy0,max,33,0.962254055072044,-7.16500231146e-07
cy0,max,34,-46.805127288148924,1.1235427166411682e-07
cy0,max,35,126.85402977329906,1.9638912363006966e-07
cy0,max,36,-82.73569589929293,-1.855086395607941e-07
cy0,max,37,21.894748147581428,1.1976871050478621e-07
cy0,max,38,-25.038572767866157,8.49191863494525e-08
cy0,max,39,15.82393153554597,-5.799088853564172e-07
cy0,max,40,-30.057400215426217,9.082189578180078e-08
cy0,max,41,13.82708783049246,1.164966185740468e-07
cy0,max,42,-32.547301409379784,-1.4277026849640606e-06
cy0,max,43,13.688159668077382,4.819668575350988e-08
cy0,max,44,-33.40224320188749,-2.0117097676575213e-07
cy0,max,45,14.65606594883656,1.2452828279663208e-07
cy0,max,46,-33.20623933107261,1.0871538336232334e-07
cy0,max,47,16.248218955185468,-1.1684845304671398e-06
cy0,max,48,-32.32931036519918,-3.527306091655191e-08
cy0,max,49,18.15778877420773,-8.550705778986867e-07
cy0,max,50,-31.009222370499522,-2.447798443938609e-07
cy0,max,total,-906.0565818831582,-4.7159257974271895e-06
clay,min,1,-224.22031725363846,-0.11171628478359708
clay,min,2,17.565150761098547,0.0005435900028274432
clay,min,3,-18.043001602582603,0.19141349480163683
clay,min,4,-34.574134392045636,0.7805996535420334
clay,min,5,-11.636163892137267,0.6334388108230637
clay,min,6,-30.486108571207314,0.9799682034194674
clay,min,7,1.9724718462999076,0.7829469164916865
clay,min,8,-32.77106567212619,1.2243409965251644
clay,min,9,-5.079748139603481,0.9351231706151228
clay,min,10,-17.44664224221909,1.2653861288250745
clay,min,11,-5.192870093075355,1.013313706837664
clay,min,12,-28.10261139933986,1.3145712660991364
clay,min,13,-3.8581798348438947,1.0136845753107235
clay,min,14,-30.630001453756055,1.3850869361476335
clay,min,15,19.290493024701142,1.078033563135108
clay,min,16,-39.07788631902544,1.649039772612177
clay,min,17,-0.5237106361019238,1.211810320833802
clay,min,18,-30.4662728845094,1.549742500304923
clay,min,19,-2.063146749028929,1.1882351380092309
clay,min,20,-33.60365976155589,1.6058202630592433
clay,min,21,-2.6277324059331355,1.240385071445116
clay,min,22,-35.94751224655793,1.6775118102625015
clay,min,23,-2.5402179952048662,1.2964676181488644
clay,min,24,-38.31272266612567,1.7872237594647657
clay,min,25,-2.2280356314596887,1.3843230712861705
clay,min,26,-40.309861357565275,1.9075661760831792
clay,min,27,-1.5373673948384905,1.4774951143248654
clay,min,28,-41.999634907892535,2.031804658423532
clay,min,29,-0.5086797101143713,1.5725470714048595
clay,min,30,-43.37931777828923,2.156703877011502
clay,min,31,0.8402648615874959,1.6669274357321533
clay,min,32,-43.452436951301245,2.196755584375161
clay,min,33,2.6627942920666534,1.7005395204943783
clay,min,34,-44.49569738084969,2.3094300196535045
clay,min,35,128.6412795622823,1.7872499853723696
clay,min,36,-79.43630759719933,3.2993881165849643
clay,min,37,24.056216932347883,2.161468904535166
clay,min,38,-22.72955691044859,2.309015942336753
clay,min,39,17.485085759847195,1.6611536443923391
clay,min,40,-27.96645877206449,2.090941534183621
clay,min,41,15.351736658368486,1.524648944372645
clay,min,42,-30.51446310253381,2.0328368791432894
clay,min,43,15.174231495147675,1.486071875266978
clay,min,44,-31.371659653469873,2.030583347246637
clay,min,45,16.136680831611542,1.4806150073032658
clay,min,46,-31.16317842581748,2.0430610139705117
clay,min,47,17.7303576782785,1.482137554608503
clay,min,48,-30.27612252397064,2.053187805955478
clay,min,49,19.637325667743347,1.4795360384650387
clay,min,50,-28.955679641109562,2.053542484610116
clay,min,total,-830.984074578162,75.07250258907038
clay,max,1,-224.06055020137208,0.0480507674827777
clay,max,2,17.5652738927156,0.0006667216198792403
clay,max,3,-18.316184951543615,-0.08176985415937565
clay,max,4,-35.69158756433795,-0.33685351875028147
clay,max,5,-12.54902920119532,-0.2794264982349901
clay,max,6,-31.896221695845846,-0.430144921219064
clay,max,7,0.8397767097745308,-0.3497482200336903
clay,max,8,-34.5354865287018,-0.5400798600504473
clay,max,9,-6.435129299443271,-0.42025798922466695
clay,max,10,-19.27415051876715,-0.5621221477229845
clay,max,11,-6.663231097894989,-0.45704729798196997
clay,max,12,-30.003337633875546,-0.5861549684365492
clay,max,13,-5.331529516473756,-0.4596651063191377
clay,max,14,-32.63337832549599,-0.6182899355923013
clay,max,15,17.72304520853135,-0.4894142530346848
clay,max,16,-41.46078627018521,-0.7338601785475944
clay,max,17,-2.2863055797150365,-0.5507846227793105
clay,max,18,-32.71081555914177,-0.6948001743274475
clay,max,19,-3.7936959061808464,-0.5423140191426867
clay,max,20,-35.929743108461246,-0.7202630838461133
clay,max,21,-4.434595350533836,-0.5664778731555842
clay,max,22,-38.37797629236808,-0.752952235547653
clay,max,23,-4.429416145387787,-0.5927305320340563
clay,max,24,-40.90220086004168,-0.8022544344512426
clay,max,25,-4.245469380561595,-0.6331106778157354
clay,max,26,-43.07407262919925,-0.856645095550796
clay,max,27,-3.6910309498635643,-0.6761684407002084
clay,max,28,-44.944439185718565,-0.9129996194024983
clay,max,29,-2.801483625254015,-0.7202568437347843
clay,max,30,-46.5058279795599,-0.9698063242591743
clay,max,31,-1.5908484441900903,-0.7641858700454329
clay,max,32,-46.63941059723632,-0.990218061559915
clay,max,33,0.1808704335160103,-0.7813843380562648
clay,max,34,-47.84621983231786,-1.0410924318146613
clay,max,35,126.03244679805424,-0.8215827788556993
clay,max,36,-84.20518084157712,-1.4694851277928223
clay,max,37,20.901658583736676,-0.9930894440760412
clay,max,38,-26.091589458490066,-1.0530166057047232
clay,max,39,15.048367923431622,-0.7755641920232339
clay,max,40,-31.01268743893516,-0.9552871326870473
clay,max,41,13.11344062983277,-0.7136470841630711
clay,max,42,-33.47528115496621,-0.9279811732891119
clay,max,43,12.992330759900069,-0.6958288599806277
clay,max,44,-34.32871693029537,-0.9264739295788615
clay,max,45,13.962437659317867,-0.6936281649904092
clay,max,46,-34.13853874904271,-0.9322993092547165
clay,max,47,15.553140894725216,-0.6950792289447829
clay,max,48,-33.266831961956605,-0.9375216320304887
clay,max,49,17.4628361235455,-0.6949535057328085
clay,max,50,-31.947833983466303,-0.9386118577466256
clay,max,total,-940.1451891325122,-34.088611965279824
temp_ci_delta,min,1,-224.0921869201931,0.01641404866177254
temp_ci_delta,min,2,17.558617852530734,-0.005989318564985524
temp_ci_delta,min,3,-18.313415350764686,-0.07900025338044614
temp_ci_delta,min,4,-35.64854220303062,-0.2938081574429532
temp_ci_delta,min,5,-12.60661909129763,-0.3370163883372985
temp_ci_delta,min,6,-31.90779896241334,-0.44172218778656
temp_ci_delta,min,7,0.7895603027546079,-0.39996462705361324
temp_ci_delta,min,8,-34.47555109496686,-0.4801444263155048
temp_ci_delta,min,9,-6.41432253793095,-0.39945122771234587
temp_ci_delta,min,10,-19.140901259361225,-0.42887288831705916
temp_ci_delta,min,11,-6.546121069958457,-0.3399372700454384
temp_ci_delta,min,12,-29.786532891927553,-0.36935022648855664
temp_ci_delta,min,13,-5.144811198590175,-0.272946788435557
temp_ci_delta,min,14,-32.33684877149157,-0.3217603815878789
temp_ci_delta,min,15,17.974577307118334,-0.2378821544476999
temp_ci_delta,min,16,-41.086945711574955,-0.36001961993734
temp_ci_delta,min,17,-2.007053935175308,-0.2715329782395819
