parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,1.699184110976353,5.66196644250784,8.651771855428875,1.8550435189314607
clay,1,-0.17732398434854063,1.237067887024637,2.35089698601009,0.5956165927905845
temp_ci_delta,1,0.49209475008498316,0.6861288897507953,1.4342649755890842,0.41325631357309217
rain_ci_delta,1,-0.44648093781623677,2.146426987691068,4.1683253879624615,1.0185951487720848
evap_ci_delta,1,0.09279760180529868,0.21548722594843345,0.4147931631522472,0.09388498106911866
ef_N_inputs,1,-0.8418945196244737,0.8418945196244737,0.17986695316720555,0.0606969190468687
volatile_frac_organic_fertiliser,1,-0.01630156757300707,0.01630156757300707,0.009909378296543434,0.003013845061000429
volatile_frac_synthetic_fertiliser,1,0.21208655635002058,0.21208655635002058,0.11442689071692527,0.035733729260367136
base_sf_qty_scale,1,-0.12171437219275809,0.12171437219275809,0.060011127386041856,0.017457688627475862
proj_lit_qty_scale,1,-0.1496992768826491,0.1496992768826491,0.06067529535452394,0.01835428302235791
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-114.79145221553586,114.79145221553586,42.04790742874339,13.34483781070971
tree_wood_dens_sp1,1,-198.03489693521163,198.03489693521163,49.384473437884296,14.107088291386406
base_cover,1,6.814863514659672,6.814863514659672,4.778624963045945,1.5290036827860787
base_fire_off,1,-0.07567880067863637,0.07567880067863637,0.14689869148455573,0.04839404300399953
base_fire_on,1,-0.5963009677098272,0.5963009677098272,1.0646667438576332,0.36180275393332845
base_sf_n_delta,1,-0.012054012840152239,0.012054012840152239,0.0052835681010778655,0.001669226215326532
crop_base_left_delta,1,1.7658772034163188,1.7658772034163188,1.1770360371682722,0.3572112105797016
crop_base_yield_delta,1,1.208142240624929,1.208142240624929,0.5278778326665905,0.17038152000405168
crop_carbon_above_sp3,1,0.07213307090848495,0.1436956679635017,0.1674083397191043,0.03148032011432126
crop_carbon_below_sp3,1,0.1152400284016137,0.1300676000894553,0.14674898360289362,0.04255521886859876
crop_intercept_sp3,1,0.05207865851592057,0.15890784416566656,0.22060928376865518,0.04867670012153378
crop_nitrogen_above_sp3,1,-0.017457450696155518,0.05111760481864671,0.08621265591421015,0.019159185151934856
crop_nitrogen_below_sp3,1,-0.02545886250268392,0.02545886250268392,0.023336280632616887,0.0076748358350844864
crop_carbon_above_sp10,1,0.032329439789594974,0.22621110188192403,0.29645041429990004,0.05509186208472669
crop_carbon_below_sp10,1,-0.005437550788784762,0.09403918344019893,0.12256532729395346,0.02445957246257862
crop_intercept_sp10,1,0.005033268904409205,0.15704764376227037,0.20953248245655384,0.034304582040660024
crop_nitrogen_above_sp10,1,-0.0030397809687654487,0.027174888300825196,0.04210209628446384,0.009131273605209718
crop_nitrogen_below_sp10,1,-0.002983332548629125,0.012934676353163343,0.02203418797898018,0.005081015820978792
crop_proj_left_delta,1,-1.3038532494599073,1.3038532494599073,0.6410272373574032,0.19963661745796657
crop_proj_yield_delta,1,-1.1440010564539371,1.1440010564539371,0.5926079725055362,0.19171478802785202
crop_root_in_top_30,1,0.086815158255971,0.13533181879817616,0.19647128099911415,0.05188059090666506
crop_root_to_shoot_sp3,1,0.15825708743685524,0.17302508423126559,0.13978704298054256,0.037129973398323544
crop_slope_sp3,1,0.05646418656935896,0.1407286892483411,0.18584150649987363,0.03999412654586367
crop_root_to_shoot_sp10,1,0.03168174275760327,0.14411620448436074,0.20649873723067907,0.046260388620144914
crop_slope_sp10,1,0.08111084531381793,0.33490569322768743,0.44694389255494754,0.1022638994891795
cy0_to_ceq_multiplier,1,-0.7868602020770868,1.4916459103149315,2.7467086476229894,0.7562538758442293
litter_carbon,1,-0.033060564539541204,0.033060564539541204,0.009221725832485667,0.0027514564233320393
litter_nitrogen,1,0.013982065601880932,0.013982065601880932,0.007232994521154184,0.0024399858924123883
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-7.024206838574163,7.024206838574163,3.351179076407557,1.1545026562558247
pool_alloc_leaf_sp1,1,-6.635742712172712,6.635742712172712,3.192337295059638,0.9965263453016749
pool_alloc_stem_sp1,1,-2.269805369845712,2.269805369845712,1.7016992332336631,0.46635683451514487
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
