parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,1.0767280775487107,2.908781177840462,4.645116227177576,1.1352394384377618
clay,1,0.4705963880008481,0.8442272839150489,2.520661251415114,0.7651205635550132
temp_ci_delta,1,0.09362075764670878,0.26609550981881885,0.3899188225947341,0.09021795409271878
rain_ci_delta,1,-0.11157329358635674,0.5818588449399401,0.918024165079494,0.24014437597883026
evap_ci_delta,1,0.050002788336274764,0.12694221081614643,0.43727897735549925,0.13761300607556032
ef_N_inputs,1,-0.8418945196244809,0.8418945196244809,0.17986695316720797,0.06069691904687134
volatile_frac_organic_fertiliser,1,-0.016301567573003873,0.016301567573003873,0.009909378296544405,0.0030138450610001856
volatile_frac_synthetic_fertiliser,1,0.21208655635001525,0.21208655635001525,0.11442689071693574,0.035733729260372264
base_sf_qty_scale,1,-0.1217143721927485,0.1217143721927485,0.0600111273860479,0.017457688627477062
proj_lit_qty_scale,1,-0.16224999694087697,0.16224999694087697,0.0648107091900641,0.019669284149905077
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-114.79145221553583,114.79145221553583,42.047907428743386,13.344837810709706
tree_wood_dens_sp1,1,-198.03489693521163,198.03489693521163,49.384473437884296,14.10708829138641
base_cover,1,5.888145726005492,5.888145726005492,4.693502045635707,1.4997707425774436
base_fire_off,1,-0.0756788006786369,0.0756788006786369,0.1468986914845586,0.04839404300400076
base_fire_on,1,-0.609045084297065,0.609045084297065,1.0945832179887462,0.36540460400361635
base_sf_n_delta,1,-0.012054012840152239,0.012054012840152239,0.005283568101080701,0.0016692262153277925
crop_base_left_delta,1,1.775579995882938,1.775579995882938,0.7918544027718675,0.24010220547631492
crop_base_yield_delta,1,1.3570852950703918,1.3570852950703918,0.586303608092432,0.19148531327294727
crop_carbon_above_sp3,1,0.08705334029798042,0.17097322174373755,0.19956414443495493,0.038622810614930586
crop_carbon_below_sp3,1,0.11548318471300671,0.14456676107328317,0.21630791654496043,0.05895198333077956
crop_intercept_sp3,1,0.058099344868327484,0.1793698575871657,0.2364728204729942,0.053290734854414455
crop_nitrogen_above_sp3,1,-0.01745745069615392,0.051117604818641915,0.0862126559142058,0.01915918515193292
crop_nitrogen_below_sp3,1,-0.025458862502678058,0.025458862502678058,0.023336280632612734,0.00767483583508253
crop_carbon_above_sp10,1,0.03621573964819067,0.24433854791396764,0.30843945955518953,0.05477140718205959
crop_carbon_below_sp10,1,-0.006454797818130941,0.10892575497326754,0.1384679487700402,0.026268856364633664
crop_intercept_sp10,1,-0.006845283068176044,0.17590823288351168,0.21331141936405343,0.03209261035425007
