parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,-0.7398964989322969,3.8443169895706184,6.372315383652727,1.371217745709953
clay,1,-0.010533994289706427,0.6067350005098138,1.8289576642953254,0.5406940442597188
temp_ci_delta,1,-0.3214813876110757,0.37103644742806274,1.0123519014866356,0.29830358057765505
rain_ci_delta,1,1.2544113041406928,1.7097886215951998,3.2759942685209045,0.9226583186885507
evap_ci_delta,1,-0.12258116327314283,0.41673359017858613,1.03378874748891,0.29417659373497573
ef_burn_crop_N2O_scale,1,-0.00024922641623525976,0.0014020530064119186,0.001844483264972636,0.00037143291671759435
ef_burn_crop_CH4_scale,1,-0.0015075344077011721,0.004823479065053249,0.006501911200410809,0.0014668917888615194
ef_burn_tree_N2O_scale,1,0.0006301347932417655,0.0006301347932417655,0.00045272340229589813,0.00012180565484518637
ef_burn_tree_CH4_scale,1,0.002280131779895811,0.002280131779895811,0.0015874279873329012,0.0005076551026962517
ef_N_inputs,1,-0.11243416633856036,0.11243416633856036,0.014814660061966127,0.004647920991970831
combustion_factor_crop,1,-0.0012512126819963498,0.007176639844415434,0.010253720701597703,0.0023120656143964914
combustion_factor_tree,1,0.003292818548671761,0.003292818548671761,0.0019931044342604743,0.00064934337781049
volatile_frac_organic_fertiliser,1,-0.0028754256509678556,0.0028754256509678556,0.0003055624421045861,8.220332913569041e-05
volatile_frac_synthetic_fertiliser,1,0.016297396888962014,0.016297396888962014,0.0016405654386399877,0.0005054828205237468
base_sf_qty_scale,1,-0.12981374696526515,0.12981374696526515,0.011684697112330781,0.0038287183019418696
proj_lit_qty_scale,1,-0.1697214118765924,0.1697214118765924,0.020373505474698333,0.006217636851161907
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.212632358676466,38.212632358676466,3.3346566682222396,1.204483112459977
tree_wood_dens_sp1,1,-38.7756643337693,38.7756643337693,3.7483761980447916,1.1103892732014728
base_cover,1,2.7534146728908864,2.7534146728908864,3.341469250974176,1.2073169625777418
base_fire_off,1,-0.024885313060659088,0.024885313060659088,0.08969221031413774,0.023475185917334492
base_fire_on,1,-0.034932859740002084,0.034932859740002084,0.005956144895642348,0.0018859905989434822
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.13290163271819572,0.13290163271819572,0.01364616483362098,0.004551771405153324
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5785419542296747,0.5785419542296747,0.07296177284233643,0.023538446863774484
crop_base_yield_delta,1,0.6505650459622793,0.6505650459622793,0.0898025426027965,0.02896433534249904
crop_carbon_above_sp3,1,0.009780339185722298,0.017545179255624176,0.020134020010341563,0.004600019281016377
crop_carbon_below_sp3,1,0.031069086414084523,0.03136420302851377,0.013803733669763871,0.004369718529809176
crop_intercept_sp3,1,-0.0011241673525578476,0.009238402399425283,0.011740742724816884,0.0020630587138330296
crop_nitrogen_above_sp3,1,-0.0013829849470127441,0.002082364054983543,0.002267851845146083,0.0005020846647992108
crop_nitrogen_below_sp3,1,-0.0031851691322646756,0.0031851691322646756,0.0007438279445760491,0.0002388061158101448
crop_carbon_above_sp10,1,-0.01202830554997405,0.04124645132630249,0.0495663279394274,0.009864510472246044
crop_carbon_below_sp10,1,0.001569467603349395,0.017280342849474904,0.02034807294183043,0.0033091026874066433
crop_intercept_sp10,1,-0.0023102958874574144,0.0079256934810644,0.009690429830601716,0.0017689324462024242
crop_nitrogen_above_sp10,1,-0.0002289948243124229,0.0015789172150228125,0.0018849667345549332,0.00033062009388262585
crop_nitrogen_below_sp10,1,-8.441088795620998e-05,0.0008590760851021173,0.0011558114040104946,0.00026372450582474354
crop_proj_left_delta,1,-0.5655320547201864,0.5655320547201864,0.08207942289005307,0.023093847637032303
crop_proj_yield_delta,1,-0.6605798587135923,0.6605798587135923,0.12641727660182736,0.03496731456460728
crop_root_in_top_30,1,0.031094533479636866,0.03647010491585299,0.03340638094418397,0.00924514184885187
crop_root_to_shoot_sp3,1,0.029514936546637217,0.029514936546637217,0.01828751024821697,0.0057590725516838345
crop_slope_sp3,1,0.011006429420639207,0.012325179677843679,0.011598245969588139,0.0031788588229936807
crop_root_to_shoot_sp10,1,0.0019023929070907998,0.012260319608425973,0.015603747097215185,0.0029019690545927816
crop_slope_sp10,1,-0.00648322924358169,0.044922505333315856,0.05361225952673703,0.00792925787617732
cy0_to_ceq_multiplier,1,0.024359635388278632,0.30992788480611894,0.888103473766493,0.2776527564330917
litter_carbon,1,-0.19365867075996768,0.19365867075996768,0.017796074603440327,0.005609346562792493
litter_nitrogen,1,0.02384058149276811,0.02384058149276811,0.002622228051292067,0.0007248192172941601
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.699853116710976,2.699853116710976,0.29433293411139483,0.08594135712122646
pool_alloc_leaf_sp1,1,-2.6804966618752184,2.6804966618752184,0.25171966132895196,0.07295259287394856
pool_alloc_stem_sp1,1,-4.941600272259085,4.941600272259085,0.602492636608379,0.20072832576994695
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-3.5268579606902164,3.5268579606902164,4.638572881047671,1.3752722047391492
proj_fire_off,1,0.05973419738979189,0.05973419738979189,0.12463274165293116,0.03769705162639058
proj_fire_on,1,0.06644873313502941,0.06644873313502941,0.007857763630850804,0.002547041605408067
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
roth_c_cover_c,1,-0.050514779940318985,0.2534103161879898,0.6788905492592935,0.18328548085973895
roth_c_dpm_frac_crop,1,-0.018381630429588115,0.04835523822812746,0.05804066543901285,0.011775625407563127
roth_c_dpm_frac_tree,1,0.0274981554507459,0.0274981554507459,0.024569425036672986,0.007514535695273208
roth_c_moisture_b_slope,1,-0.13631672863585392,0.3323463652211089,0.7218777330666696,0.17157441856886732
roth_c_temp_a1,1,-0.10875393985718844,0.28710995982571746,0.5825832467643618,0.15524500038145084
roth_c_temp_a2,1,-0.08964438606310096,0.46163257536757385,0.9235127037627413,0.2258142879499427
thinning_fraction_branch_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,1,0.0,0.0,0.0,0.0
tree_carbon_sp1,1,-38.27817189409821,38.27817189409821,3.3349569586826564,0.9832780530952014
tree_nitrogen_branch_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,1,0.0,0.0,0.0,0.0
tree_root_in_top_30,1,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,1,-4.938693308621022,4.938693308621022,0.6746286989763021,0.20407510066449341
cy0,2,-0.3127473041762112,1.003310484317276,2.1114565469453543,0.5364274719277514
clay,2,-0.036539368341805226,0.34795487040324946,0.9982179110589141,0.2951070962365476
temp_ci_delta,2,0.04725925307946044,0.08046505323793855,0.12707814307835333,0.032170523876557784
rain_ci_delta,2,0.5810509882973846,1.1547882105206475,2.0631641117534913,0.5587551338483647
evap_ci_delta,2,-0.0857566446465456,0.21869245143826382,0.5191792358058127,0.1512497506199612
ef_burn_crop_N2O_scale,2,-0.00024922641624205435,0.001402053006410986,0.0018444832649691118,0.00037143291671645014
ef_burn_crop_CH4_scale,2,-0.0015075344077016383,0.004823479065054514,0.006501911200413177,0.0014668917888615335
ef_burn_tree_N2O_scale,2,0.0006301347932353707,0.0006301347932353707,0.0004527234022865281,0.0001218056548427644
ef_burn_tree_CH4_scale,2,0.002280131779891681,0.002280131779891681,0.0015874279873308366,0.0005076551026956254
ef_N_inputs,2,-0.11243416633855782,0.11243416633855782,0.014814660061965673,0.004647920991972288
combustion_factor_crop,2,-0.0012512126820004798,0.007176639844419031,0.010253720701596065,0.002312065614393804
combustion_factor_tree,2,0.003292818548670695,0.003292818548670695,0.001993104434259204,0.0006493433778106759
volatile_frac_organic_fertiliser,2,-0.0028754256509726517,0.0028754256509726517,0.0003055624420990736,8.220332913418304e-05
volatile_frac_synthetic_fertiliser,2,0.01629739688896161,0.01629739688896161,0.0016405654386366115,0.0005054828205227842
base_sf_qty_scale,2,-0.12981374696526382,0.12981374696526382,0.011684697112334294,0.0038287183019435097
proj_lit_qty_scale,2,-0.07848966610178701,0.07848966610178701,0.024322360164848997,0.007500258436464527
base_stand_density_scale,2,0.0,0.0,0.0,0.0
proj_stand_density_scale,2,6.594121990493456,6.594121990493456,1.8710284556552654,0.6412661176752256
tree_wood_dens_sp1,2,6.870296829868987,6.870296829868987,1.637582194800495,0.5004108184349491
base_cover,2,0.8183490408097003,0.8183490408097003,1.2109300027680263,0.42960991326895326
base_fire_off,2,-0.02488531306065882,0.02488531306065882,0.08969221031413632,0.023475185917333927
base_fire_on,2,-0.03493285974000302,0.03493285974000302,0.005956144895641991,0.0018859905989433209
base_mortality,2,0.0,0.0,0.0,0.0
base_sf_n_delta,2,-0.13290163271820032,0.13290163271820032,0.013646164833617585,0.004551771405151799
base_thinning_delta,2,0.0,0.0,0.0,0.0
crop_base_left_delta,2,0.3322310596310369,0.3322310596310369,0.057413474753833474,0.01892706708339268
crop_base_yield_delta,2,0.31802871143837896,0.31802871143837896,0.07062938179053437,0.020780421669977487
crop_carbon_above_sp3,2,0.004848775969525487,0.011110986870521877,0.013368421699065061,0.0026884067230407305
crop_carbon_below_sp3,2,0.016886778379272948,0.018783842734472554,0.013810898423769901,0.0036842674122470735
crop_intercept_sp3,2,-0.0009063469219866782,0.005870982267316105,0.007514491436678618,0.0013345407460920553
crop_nitrogen_above_sp3,2,-0.001382984947020338,0.002082364054989272,0.0022678518451478783,0.0005020846648004544
crop_nitrogen_below_sp3,2,-0.0031851691322608124,0.0031851691322608124,0.0007438279445802115,0.00023880611581131504
crop_carbon_above_sp10,2,-0.007168941916317939,0.025860378814188366,0.03178044131559406,0.006696562861250397
crop_carbon_below_sp10,2,0.00014148789353789492,0.010224726819267338,0.012956206532829034,0.0024504261387807372
crop_intercept_sp10,2,-0.0015253485172070924,0.0052497750077828975,0.006353158025831011,0.0009907099390135947
crop_nitrogen_above_sp10,2,-0.00022899482431655295,0.001578917215028275,0.0018849667345618975,0.0003306200938848269
crop_nitrogen_below_sp10,2,-8.441088795407836e-05,0.0008590760851010515,0.0011558114040073064,0.0002637245058241672
crop_proj_left_delta,2,-0.32623566498721357,0.32623566498721357,0.06299236520163233,0.01941696218783099
crop_proj_yield_delta,2,-0.33381599719498445,0.33381599719498445,0.1028277733610214,0.02717484373627012
crop_root_in_top_30,2,0.013962655637890587,0.020162989026513544,0.020518494231883008,0.0049795208121457555
