parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,-0.39015525972200926,4.574174452666989,6.919213659876028,1.599657607571473
clay,1,0.5377685578357898,0.9499928547011998,2.24456836473353,0.6849885006796096
temp_ci_delta,1,-0.2093458330592103,0.29343002478298563,0.5284278180338375,0.13229111773481034
rain_ci_delta,1,0.2336849518287149,0.5486739514754031,0.989915673077302,0.26002198039756425
evap_ci_delta,1,-0.09395208515432678,0.12220669625852273,0.36263661660555235,0.10400341181238022
ef_burn_crop_N2O_scale,1,-0.0002492264162459179,0.0014020530064055236,0.0018444832649674313,0.0003714329167178028
ef_burn_crop_CH4_scale,1,-0.001507534407707567,0.004823479065048986,0.006501911200412123,0.0014668917888644788
ef_burn_tree_N2O_scale,1,0.0006301347932406998,0.0006301347932406998,0.0004527234022938542,0.0001218056548451318
ef_burn_tree_CH4_scale,1,0.0022801317798936795,0.0022801317798936795,0.001587427987335025,0.0005076551026975511
ef_N_inputs,1,-0.11243416633856036,0.11243416633856036,0.014814660061959443,0.004647920991969424
combustion_factor_crop,1,-0.001251212681995284,0.007176639844418631,0.01025372070159802,0.002312065614395424
combustion_factor_tree,1,0.003292818548670695,0.003292818548670695,0.001993104434263161,0.0006493433778114979
volatile_frac_organic_fertiliser,1,-0.002875425650965724,0.002875425650965724,0.00030556244209933685,8.220332913401866e-05
volatile_frac_synthetic_fertiliser,1,0.016297396888962014,0.016297396888962014,0.0016405654386388588,0.0005054828205239845
base_sf_qty_scale,1,-0.12981374696526515,0.12981374696526515,0.011684697112332075,0.0038287183019431463
proj_lit_qty_scale,1,-0.17629206243613638,0.17629206243613638,0.02170559133988457,0.006743116341345931
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.212632358676466,38.212632358676466,3.3346566682222414,1.2044831124599777
tree_wood_dens_sp1,1,-38.77566433376929,38.77566433376929,3.7483761980447996,1.1103892732014724
base_cover,1,4.067552869297664,4.067552869297664,5.284322504460373,1.6055066941671636
base_fire_off,1,-0.024885313060659088,0.024885313060659088,0.08969221031413774,0.023475185917334492
base_fire_on,1,-0.03493285974000315,0.03493285974000315,0.00595614489565024,0.0018859905989468697
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.13290163271819894,0.13290163271819894,0.013646164833620116,0.004551771405152265
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5940284935957955,0.5940284935957955,0.07329775336526285,0.023112439311650673
crop_base_yield_delta,1,0.6753977888751173,0.6753977888751173,0.10066708018681123,0.03215209247807669
crop_carbon_above_sp3,1,0.009189246529520644,0.018225334203055256,0.020926804473280373,0.004606199555363244
crop_carbon_below_sp3,1,0.030754759293963475,0.030996961502481924,0.015550604370294142,0.005061788960301342
crop_intercept_sp3,1,-0.0012632558690615526,0.010050649131773426,0.012491689883947969,0.0020943050918389473
crop_nitrogen_above_sp3,1,-0.0013829849470170074,0.0020823640549878066,0.002267851845147142,0.0005020846647988985
crop_nitrogen_below_sp3,1,-0.00318516913226361,0.00318516913226361,0.0007438279445821078,0.0002388061158125035
crop_carbon_above_sp10,1,-0.011946426860570014,0.04362203131700646,0.05205001600324903,0.010253328706894528
crop_carbon_below_sp10,1,0.0005602645275875062,0.017299629230747727,0.02107281867015283,0.0036635048975570132
crop_intercept_sp10,1,-0.002078621185737006,0.008831011295541202,0.010577956774047218,0.0017563641990416665
crop_nitrogen_above_sp10,1,-0.00022899482431562034,0.0015789172150366682,0.0018849667345687859,0.0003306200938844856
crop_nitrogen_below_sp10,1,-8.441088795727581e-05,0.0008590760851053148,0.001155811404013117,0.0002637245058250656
crop_proj_left_delta,1,-0.5853792535908134,0.5853792535908134,0.08839695454476673,0.024980973925856777
crop_proj_yield_delta,1,-0.6867137061996189,0.6867137061996189,0.1371623279029432,0.03825241769723658
crop_root_in_top_30,1,0.030722414963538825,0.037533758915104444,0.03285933208744039,0.008662234045989039
crop_root_to_shoot_sp3,1,0.029281925654740703,0.02963567313462754,0.02066473090634426,0.006231469097972096
crop_slope_sp3,1,0.010804874827078948,0.012756166297155147,0.013084260360478371,0.0034424110550265227
crop_root_to_shoot_sp10,1,0.001942915813358681,0.012799171800355325,0.01697029109223321,0.0034411483109124843
crop_slope_sp10,1,-0.007711247174516345,0.04811708095911662,0.05757216726108531,0.008565931466892074
cy0_to_ceq_multiplier,1,0.10719268146723451,0.36737364602196365,0.8166245645115834,0.21792075515896692
litter_carbon,1,-0.1997208387889195,0.1997208387889195,0.019160812766139904,0.006248744697618799
litter_nitrogen,1,0.023840581492764912,0.023840581492764912,0.0026222280512963976,0.0007248192172955461
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.6998531167109716,2.6998531167109716,0.29433293411139566,0.08594135712122682
pool_alloc_leaf_sp1,1,-2.6804966618752193,2.6804966618752193,0.2517196613289525,0.0729525928739497
pool_alloc_stem_sp1,1,-4.941600272259089,4.941600272259089,0.6024926366083796,0.20072832576994748
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-4.118785733235062,4.118785733235062,5.6088054265567076,1.7183112694053904
proj_fire_off,1,0.05973419738979082,0.05973419738979082,0.12463274165292836,0.037697051626389415
proj_fire_on,1,0.06644873313502835,0.06644873313502835,0.007857763630849867,0.002547041605408073
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
roth_c_cover_c,1,0.07177221854535105,0.10202877146659688,0.41415090344037986,0.11413362353968552
roth_c_dpm_frac_crop,1,-0.016005685058316742,0.061154587364391944,0.07432876210020843,0.014246820975077205
roth_c_dpm_frac_tree,1,0.049064160599518306,0.049064160599518306,0.09536672046394999,0.03030762501108687
roth_c_moisture_b_slope,1,-0.23479451438698576,0.34216448872422023,0.5709679811063938,0.13301666854318225
roth_c_temp_a1,1,-0.12052979062344349,0.3194358524750648,0.7985741747636302,0.2372832676344512
roth_c_temp_a2,1,-0.26551785275960926,0.6289373581324703,1.6854208971815328,0.4715683197106604
thinning_fraction_branch_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,1,0.0,0.0,0.0,0.0
tree_carbon_sp1,1,-38.278171894098215,38.278171894098215,3.3349569586826573,0.9832780530952019
tree_nitrogen_branch_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,1,0.0,0.0,0.0,0.0
tree_root_in_top_30,1,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,1,-4.9386933086210245,4.9386933086210245,0.6746286989763028,0.2040751006644931
cy0,2,-0.4484620408135885,1.4665841487671447,2.334024926687735,0.5198591980944445
clay,2,-0.1470603979133566,0.2788027095618316,0.6357976045126971,0.17640527167356562
temp_ci_delta,2,-0.02885436250661977,0.14325996606055336,0.24312866474801506,0.055623726071430075
rain_ci_delta,2,0.26274994093710535,0.46535779263118304,0.7892192281298694,0.21124281435393444
evap_ci_delta,2,-0.04323013760961127,0.06601211094061683,0.18984043457861335,0.057015817681801396
ef_burn_crop_N2O_scale,2,-0.0002492264162413882,0.0014020530064113856,0.0018444832649691138,0.000371432916716438
ef_burn_crop_CH4_scale,2,-0.0015075344077016383,0.004823479065054248,0.006501911200413235,0.0014668917888618022
ef_burn_tree_N2O_scale,2,0.0006301347932355039,0.0006301347932355039,0.0004527234022874713,0.00012180565484310211
ef_burn_tree_CH4_scale,2,0.0022801317798919474,0.0022801317798919474,0.0015874279873298702,0.0005076551026952832
ef_N_inputs,2,-0.11243416633855877,0.11243416633855877,0.014814660061966918,0.004647920991972585
combustion_factor_crop,2,-0.0012512126820007463,0.0071766398444198295,0.010253720701596566,0.0023120656143937953
combustion_factor_tree,2,0.0032928185486708283,0.0032928185486708283,0.0019931044342594057,0.0006493433778104965
volatile_frac_organic_fertiliser,2,-0.0028754256509721187,0.0028754256509721187,0.0003055624420980437,8.220332913386862e-05
volatile_frac_synthetic_fertiliser,2,0.01629739688896321,0.01629739688896321,0.0016405654386360581,0.0005054828205223674
base_sf_qty_scale,2,-0.12981374696526476,0.12981374696526476,0.01168469711233371,0.0038287183019436494
proj_lit_qty_scale,2,-0.088239292486697,0.088239292486697,0.026624753804269867,0.008335985204698448
base_stand_density_scale,2,0.0,0.0,0.0,0.0
proj_stand_density_scale,2,6.594121990493456,6.594121990493456,1.871028455655265,0.6412661176752256
tree_wood_dens_sp1,2,6.870296829868984,6.870296829868984,1.637582194800497,0.5004108184349496
base_cover,2,1.6280195077636896,1.6280195077636896,1.8020512836136073,0.60998935653884
base_fire_off,2,-0.02488531306065882,0.02488531306065882,0.08969221031413632,0.023475185917333927
base_fire_on,2,-0.03493285974000315,0.03493285974000315,0.005956144895642394,0.0018859905989436069
base_mortality,2,0.0,0.0,0.0,0.0
base_sf_n_delta,2,-0.13290163271820032,0.13290163271820032,0.01364616483361725,0.004551771405151818
base_thinning_delta,2,0.0,0.0,0.0,0.0
crop_base_left_delta,2,0.35187597902069395,0.35187597902069395,0.06129939820237332,0.01972838000246494
crop_base_yield_delta,2,0.34985099039090745,0.34985099039090745,0.08664702138120954,0.026396078133182038
crop_carbon_above_sp3,2,0.004254210131769476,0.012470384471545425,0.01533283306068664,0.0030015373147052947
crop_carbon_below_sp3,2,0.016016389166270083,0.019956342128924033,0.016861086206924496,0.003920284902518845
crop_intercept_sp3,2,-0.0012888457551213151,0.007448496561143436,0.009338700127189197,0.0016852627294650457
crop_nitrogen_above_sp3,2,-0.0013829849470200716,0.002082364054988739,0.002267851845146559,0.0005020846647999217
crop_nitrogen_below_sp3,2,-0.003185169132260679,0.003185169132260679,0.0007438279445800067,0.00023880611581106562
crop_carbon_above_sp10,2,-0.008255197500543644,0.02878435189035424,0.03440951950737707,0.0070277596047162525
crop_carbon_below_sp10,2,-0.0008642913363692939,0.011567038635785542,0.014574767296188073,0.0027860709567087204
crop_intercept_sp10,2,-0.001803918219770173,0.006577510180555057,0.008050923740124801,0.001258770386933732
crop_nitrogen_above_sp10,2,-0.0002289948243169526,0.001578917215028941,0.001884966734562985,0.0003306200938851074
crop_nitrogen_below_sp10,2,-8.441088795407836e-05,0.0008590760851021173,0.0011558114040090045,0.0002637245058246343
crop_proj_left_delta,2,-0.35129158602452304,0.35129158602452304,0.07287284089487615,0.02247419431748065
crop_proj_yield_delta,2,-0.3674252198931964,0.3674252198931964,0.11813766856550453,0.03197644503563145
crop_root_in_top_30,2,0.012827329395872545,0.022238050332183557,0.023763161080650404,0.005087339950642846
crop_root_to_shoot_sp3,2,0.01281337707009116,0.016895265154698035,0.015228814425511618,0.0032161787982749107
crop_slope_sp3,2,0.004562284035359942,0.007432693743570118,0.008452908876134025,0.0018872901158161438
crop_root_to_shoot_sp10,2,0.00042585985043870346,0.008564717089402273,0.011742701238439146,0.002476767942689649
crop_slope_sp10,2,-0.004175717287757364,0.028347810047013988,0.034408136075074154,0.00524522584217444
cy0_to_ceq_multiplier,2,-0.043471239970966115,0.12710408973844176,0.30929006737837994,0.08413274361433005
litter_carbon,2,-0.11339874061522356,0.11339874061522356,0.022849679691087522,0.00717891099191676
litter_nitrogen,2,0.023840581492756384,0.023840581492756384,0.002622228051291029,0.0007248192172942834
mortality_fraction_branch_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,2,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,2,2.119997492286634,2.119997492286634,0.2508292567315803,0.07361611803938048
pool_alloc_leaf_sp1,2,2.5450419190402016,2.5450419190402016,0.25471390667260024,0.07374634994322836
pool_alloc_stem_sp1,2,1.4753839938343534,1.5985455945512332,1.3149549920660473,0.331156294877063
