parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,0.046798685060488766,0.6273956550012236,0.7836090245376812,0.14045287628211978
clay,1,0.012819752122068807,0.15397214522174388,0.22335040241988824,0.05075127860420858
temp_ci_delta,1,0.01962818844232537,0.02377278667252831,0.0229873294777762,0.005619956905405757
rain_ci_delta,1,-0.02069963723993453,0.18132810632630408,0.2920640658900688,0.0662625111625373
evap_ci_delta,1,-0.008418601204103027,0.017054593205062217,0.037480569270570446,0.009704778084657938
ef_burn_crop_N2O_scale,1,0.002173047134220241,0.0022416534737971006,0.0015433280003685804,0.0003954250723429233
ef_burn_crop_CH4_scale,1,0.008100512541138371,0.009033383279602347,0.006861904069978764,0.0016253894681096583
ef_burn_tree_N2O_scale,1,0.0034712592601724877,0.0034712592601724877,0.0005225575080265736,0.00013693604502652522
ef_burn_tree_CH4_scale,1,0.011650137118199311,0.011650137118199311,0.0018972984397164802,0.0005851507197447465
ef_N_inputs,1,-0.11243410006632466,0.11243410006632466,0.014779428494165603,0.004635812094648666
combustion_factor_crop,1,0.011794674954162688,0.011981721579700278,0.008445999204789953,0.002461438515267807
combustion_factor_tree,1,0.015497247190069886,0.015497247190069886,0.0025201209379402687,0.0007950748859272426
volatile_frac_organic_fertiliser,1,-0.0028754256509667896,0.0028754256509667896,0.0003055624420980152,8.22033291337764e-05
volatile_frac_synthetic_fertiliser,1,0.01629739688895775,0.01629739688895775,0.001640565438634801,0.0005054828205216832
base_sf_qty_scale,1,-0.12981374696526515,0.12981374696526515,0.011684697112326392,0.003828718301941855
proj_lit_qty_scale,1,-0.17063478387206815,0.17063478387206815,0.01765935054803301,0.005273939891808427
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.212632358676466,38.212632358676466,3.3346566682222316,1.204483112459971
tree_wood_dens_sp1,1,-38.7756643337693,38.7756643337693,3.748376198044796,1.1103892732014726
base_cover,1,0.713235759153752,0.713235759153752,0.47171601865541973,0.13889870290863215
base_fire_off,1,-0.019659596751739984,0.019659596751739984,0.07097668731042105,0.018562670965622006
base_fire_on,1,-0.028559907333849565,0.028559907333849565,0.0053926548506591935,0.0017299944416655371
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.1329016327181968,0.1329016327181968,0.013646164833611366,0.004551771405149639
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5011641093879078,0.5011641093879078,0.07626786565025911,0.025164168850927322
crop_base_yield_delta,1,0.65005405737218,0.65005405737218,0.09566078743441096,0.03401616043325334
crop_carbon_above_sp3,1,0.012656867552279395,0.01935090227601357,0.020880988920477336,0.005119065820515062
crop_carbon_below_sp3,1,0.03450636225031119,0.03450636225031119,0.009582219363341082,0.0034133947156657326
crop_intercept_sp3,1,0.002854398532937097,0.009244471213240502,0.010930864848201636,0.0019314441227506057
crop_nitrogen_above_sp3,1,-0.0013829849470234023,0.0020823640549984647,0.002267851845157681,0.0005020846648031405
crop_nitrogen_below_sp3,1,-0.003185169132252952,0.003185169132252952,0.0007438279445789968,0.0002388061158100159
crop_carbon_above_sp10,1,0.0,0.0,0.0,0.0
crop_carbon_below_sp10,1,0.0,0.0,0.0,0.0
crop_intercept_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_above_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_below_sp10,1,0.0,0.0,0.0,0.0
crop_proj_left_delta,1,-0.4591535868316285,0.4591535868316285,0.07792136218716894,0.02365250680273611
crop_proj_yield_delta,1,-0.6231449322090505,0.6231449322090505,0.0923616456647702,0.025676483327098855
crop_root_in_top_30,1,0.0330269003278925,0.036583924868692816,0.026157386466318527,0.0069507478611627385
crop_root_to_shoot_sp3,1,0.031480394311375545,0.031480394311375545,0.011851131801389988,0.0036581927185710527
crop_slope_sp3,1,0.014021836638356789,0.01462603226047925,0.010025934206635686,0.002863102367456124
crop_root_to_shoot_sp10,1,0.0,0.0,0.0,0.0
crop_slope_sp10,1,0.0,0.0,0.0,0.0
cy0_to_ceq_multiplier,1,-0.03331980872054885,0.10868745469678202,0.197502102289513,0.057982055973301486
litter_carbon,1,-0.2068845317679024,0.2068845317679024,0.017260501780678023,0.005435843747796206
litter_nitrogen,1,0.02384058149276811,0.02384058149276811,0.0026222280512972827,0.0007248192172955755
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.699853116710976,2.699853116710976,0.294332934111396,0.08594135712122691
pool_alloc_leaf_sp1,1,-2.6804966618752193,2.6804966618752193,0.2517196613289545,0.07295259287394963
pool_alloc_stem_sp1,1,-4.94160027225909,4.94160027225909,0.6024926366083856,0.20072832576994973
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-0.8248669447994808,0.8248669447994808,0.6011434729141185,0.20109784102971914
proj_fire_off,1,0.0,0.0,0.0,0.0
proj_fire_on,1,0.05962400079772934,0.05962400079772934,0.006719354494731438,0.002166966470774401
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
roth_c_cover_c,1,0.03136400007881619,0.12754783977901737,0.18018562754542758,0.03760663677662026
roth_c_dpm_frac_crop,1,-0.027714143173257356,0.049355771346286305,0.055031616040612685,0.011949445961380157
roth_c_dpm_frac_tree,1,0.02028439041409804,0.02028439041409804,0.007750073000563038,0.0025890828965127685
roth_c_moisture_b_slope,1,-0.010847813132274097,0.025791708335492557,0.03072975936572792,0.0058481208481246565
