parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,0.29679707431876173,1.5266789113482329,1.9385204843810884,0.384380284558826
clay,1,0.16642802664892997,0.37678385365612,0.8464115569421449,0.2557408987764426
temp_ci_delta,1,0.0023580012609787813,0.07246300120548561,0.14303434303931298,0.035399217810064325
rain_ci_delta,1,0.05469841494847501,0.40875336617978847,0.7455317836221549,0.19141404504861154
evap_ci_delta,1,-0.015709358515774596,0.0886950158974706,0.21084608021341134,0.054945053326135224
ef_burn_crop_N2O_scale,1,0.002173047134218109,0.0022416534737971006,0.0015433280003744737,0.00039542507234367427
ef_burn_crop_CH4_scale,1,0.008100512541140503,0.009033383279602347,0.006861904069973128,0.0016253894681082287
ef_burn_tree_N2O_scale,1,0.0034712592601724877,0.0034712592601724877,0.0005225575080239394,0.00013693604502625127
ef_burn_tree_CH4_scale,1,0.011650137118203573,0.011650137118203573,0.0018972984397126436,0.0005851507197438652
ef_N_inputs,1,-0.1124341000663236,0.1124341000663236,0.014779428494169352,0.0046358120946506055
combustion_factor_crop,1,0.011794674954160556,0.011981721579698146,0.00844599920478511,0.0024614385152666577
combustion_factor_tree,1,0.01549724719007095,0.01549724719007095,0.0025201209379440126,0.0007950748859294109
volatile_frac_organic_fertiliser,1,-0.0028754256509667896,0.0028754256509667896,0.00030556244209993755,8.22033291341053e-05
volatile_frac_synthetic_fertiliser,1,0.016297396888962014,0.016297396888962014,0.0016405654386334513,0.0005054828205221927
base_sf_qty_scale,1,-0.12981374696526302,0.12981374696526302,0.011684697112331749,0.0038287183019428393
proj_lit_qty_scale,1,-0.1731379440050585,0.1731379440050585,0.01841297468801717,0.0054367680568829435
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.21263235867647,38.21263235867647,3.334656668222244,1.204483112459977
tree_wood_dens_sp1,1,-38.77566433376931,38.77566433376931,3.7483761980448027,1.1103892732014733
base_cover,1,1.3685654800716276,1.3685654800716276,1.2984741956882366,0.3782023922797224
base_fire_off,1,-0.019659596751739984,0.019659596751739984,0.07097668731042105,0.018562670965622006
base_fire_on,1,-0.028559907333849565,0.028559907333849565,0.005392654850657386,0.0017299944416639778
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.13290163271819894,0.13290163271819894,0.013646164833617844,0.0045517714051522525
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5110647255640359,0.5110647255640359,0.07738927653816625,0.025533443994362446
crop_base_yield_delta,1,0.6625057654755462,0.6625057654755462,0.09787156109268011,0.034609546412987593
crop_carbon_above_sp3,1,0.012908090823781393,0.019645646411767713,0.021218479388181537,0.005246391505633965
crop_carbon_below_sp3,1,0.035264093641574235,0.035264093641574235,0.009987829287610528,0.0036165086553935043
crop_intercept_sp3,1,0.0028163130159974516,0.009482865603120417,0.011295064505494409,0.0020002024272335332
crop_nitrogen_above_sp3,1,-0.0013829849470244683,0.0020823640549931357,0.002267851845151469,0.000502084664802451
crop_nitrogen_below_sp3,1,-0.0031851691322561495,0.0031851691322561495,0.0007438279445805539,0.00023880611581110944
crop_carbon_above_sp10,1,0.0,0.0,0.0,0.0
crop_carbon_below_sp10,1,0.0,0.0,0.0,0.0
crop_intercept_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_above_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_below_sp10,1,0.0,0.0,0.0,0.0
crop_proj_left_delta,1,-0.4684042301392214,0.4684042301392214,0.0805099890449723,0.02434581551274708
crop_proj_yield_delta,1,-0.6383980381893586,0.6383980381893586,0.09505754659915848,0.026456538057715705
crop_root_in_top_30,1,0.03352323300532056,0.03689109534552308,0.026605439255907786,0.007246092717372573
crop_root_to_shoot_sp3,1,0.03187508285671008,0.03187508285671008,0.011323063219878644,0.0035859507167985178
crop_slope_sp3,1,0.014112986142494321,0.014752547746514466,0.010214425489110675,0.002924638402303171
crop_root_to_shoot_sp10,1,0.0,0.0,0.0,0.0
crop_slope_sp10,1,0.0,0.0,0.0,0.0
cy0_to_ceq_multiplier,1,-0.0303689256116062,0.15051517230502576,0.27714374604340725,0.08182255910739719
litter_carbon,1,-0.2090138413673202,0.2090138413673202,0.017465052808472162,0.005415349212138494
litter_nitrogen,1,0.023840581492769176,0.023840581492769176,0.0026222280512980365,0.0007248192172957871
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.699853116710975,2.699853116710975,0.2943329341113959,0.08594135712122677
pool_alloc_leaf_sp1,1,-2.68049666187522,2.68049666187522,0.25171966132895546,0.07295259287395003
pool_alloc_stem_sp1,1,-4.9416002722590875,4.9416002722590875,0.6024926366083819,0.20072832576994828
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-1.5406144784065425,1.5406144784065425,1.5246333425828145,0.5091791514754073
proj_fire_off,1,0.0,0.0,0.0,0.0
proj_fire_on,1,0.05962400079772721,0.05962400079772721,0.006719354494730854,0.0021669664707746764
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
