parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,-1.3520424110644325,6.379364440735325,10.119402168381297,2.2835624299611337
clay,1,0.17480721348687284,0.949529335140015,2.441663119968784,0.7221842425981038
temp_ci_delta,1,-0.3637306800051487,0.40585911497468424,0.8337948730195893,0.2165860141982404
rain_ci_delta,1,1.176279142897463,2.843346719178494,5.530118752474884,1.6353700501233635
evap_ci_delta,1,-0.2940906414327415,0.3838507616732286,0.9078038808351293,0.28614442239730875
ef_burn_crop_N2O_scale,1,-0.0002492264162363256,0.0014020530064023263,0.0018444832649631368,0.00037143291671560256
ef_burn_crop_CH4_scale,1,-0.0015075344077043694,0.004823479065050052,0.006501911200410985,0.0014668917888618215
ef_burn_tree_N2O_scale,1,0.000630134793239634,0.000630134793239634,0.0004527234022937763,0.00012180565484538837
ef_burn_tree_CH4_scale,1,0.0022801317798926135,0.0022801317798926135,0.0015874279873322973,0.0005076551026966359
ef_N_inputs,1,-0.11243416633855396,0.11243416633855396,0.01481466006196121,0.004647920991969469
combustion_factor_crop,1,-0.0012512126819984814,0.00717663984442396,0.010253720701600622,0.002312065614394658
combustion_factor_tree,1,0.003292818548670695,0.003292818548670695,0.0019931044342653428,0.0006493433778120058
volatile_frac_organic_fertiliser,1,-0.002875425650964658,0.002875425650964658,0.0003055624420994636,8.220332913384112e-05
volatile_frac_synthetic_fertiliser,1,0.01629739688896308,0.01629739688896308,0.0016405654386336195,0.000505482820522539
base_sf_qty_scale,1,-0.1298137469652673,0.1298137469652673,0.011684697112335793,0.0038287183019435262
proj_lit_qty_scale,1,-0.18299994838592254,0.18299994838592254,0.029602778640141623,0.008928783125724567
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.21263235867649,38.21263235867649,3.334656668222254,1.20448311245998
tree_wood_dens_sp1,1,-38.7756643337693,38.7756643337693,3.7483761980448,1.110389273201474
base_cover,1,4.682658136651681,4.682658136651681,5.407294975174799,1.864924560015079
base_fire_off,1,-0.024885313060660153,0.024885313060660153,0.08969221031414155,0.023475185917335304
base_fire_on,1,-0.03493285974000635,0.03493285974000635,0.005956144895642094,0.0018859905989440852
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.1329016327181968,0.1329016327181968,0.013646164833618217,0.0045517714051514875
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.6141264928728066,0.6141264928728066,0.09392435140015912,0.030173351366576354
crop_base_yield_delta,1,0.7136523954318005,0.7136523954318005,0.17250771690702033,0.05117843129210806
crop_carbon_above_sp3,1,0.00658664270793885,0.022378589996246846,0.028168626413900173,0.005502479745487891
crop_carbon_below_sp3,1,0.036236448385672304,0.04226930931057708,0.057746099438261866,0.016737141374028503
crop_intercept_sp3,1,-0.001602631149117073,0.011847335910385582,0.014989538256541184,0.002701553678699996
crop_nitrogen_above_sp3,1,-0.0013829849470127441,0.002082364054983543,0.002267851845148721,0.0005020846648010284
crop_nitrogen_below_sp3,1,-0.0031851691322668076,0.0031851691322668076,0.0007438279445750671,0.00023880611580954172
crop_carbon_above_sp10,1,-0.013214569387704956,0.05157417684120702,0.0649855512291971,0.01442436260234264
crop_carbon_below_sp10,1,-0.0004176740061247131,0.020305429202828407,0.026099810114390193,0.005067126402498493
crop_intercept_sp10,1,-0.002726429134681396,0.010113917081888602,0.012246584464077141,0.0018683114690271976
crop_nitrogen_above_sp10,1,-0.0002289948243113571,0.0015789172150302733,0.0018849667345619086,0.0003306200938832704
crop_nitrogen_below_sp10,1,-8.441088795727581e-05,0.0008590760851031831,0.001155811404012021,0.0002637245058262361
crop_proj_left_delta,1,-0.6119950388910234,0.6119950388910234,0.10719242187206916,0.030758085255350127
crop_proj_yield_delta,1,-0.7169264162118271,0.7169264162118271,0.1671130032842735,0.04745761637474057
crop_root_in_top_30,1,0.03944317629757101,0.054332464365131374,0.09735825554997801,0.03017549341990771
crop_root_to_shoot_sp3,1,0.03772018797448915,0.03986648055734783,0.06266830180885727,0.019628355157940175
crop_slope_sp3,1,0.018697741001733093,0.021729818902100462,0.055946895034696784,0.01525970115252028
crop_root_to_shoot_sp10,1,0.015070590050035904,0.02786871345769377,0.06774898298893094,0.019482456211683232
crop_slope_sp10,1,-0.010405054924835965,0.053913693638822126,0.06469312330592093,0.00992693430088293
cy0_to_ceq_multiplier,1,0.22901658235885733,0.573661128502394,1.690741357934875,0.5230947666272721
litter_carbon,1,-0.20438934863488142,0.20438934863488142,0.023613278463305555,0.0076214336712960365
litter_nitrogen,1,0.02384058149276278,0.02384058149276278,0.0026222280512910832,0.000724819217294824
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.699853116710973,2.699853116710973,0.29433293411138745,0.08594135712122387
pool_alloc_leaf_sp1,1,-2.6804966618752193,2.6804966618752193,0.2517196613289567,0.07295259287395
pool_alloc_stem_sp1,1,-4.941600272259093,4.941600272259093,0.6024926366083905,0.20072832576995103
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-6.622705935451156,6.622705935451156,9.591521641465265,2.8913303123354095
proj_fire_off,1,0.05973419738979082,0.05973419738979082,0.12463274165292805,0.037697051626389706
proj_fire_on,1,0.06644873313502941,0.06644873313502941,0.007857763630849363,0.0025470416054079385
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
roth_c_cover_c,1,0.13491786123017668,0.22742469436086415,0.7773176084771352,0.21396745164976994
roth_c_dpm_frac_crop,1,-0.011658093747909604,0.06604247552436995,0.08272676700665575,0.015612708213475917
roth_c_dpm_frac_tree,1,0.021918381199624904,0.021918381199624904,0.018202354201901298,0.005393585828134235
roth_c_moisture_b_slope,1,-0.1692263140669265,0.634078741859096,1.3823205910563772,0.31795493096357796
roth_c_temp_a1,1,0.11064868979654534,0.45591112339469364,1.238116461386042,0.3579883369965531
roth_c_temp_a2,1,-0.025621094684183277,0.7008276868887855,1.4638125270276618,0.38475336314132563
thinning_fraction_branch_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,1,0.0,0.0,0.0,0.0
tree_carbon_sp1,1,-38.278171894098215,38.278171894098215,3.3349569586826573,0.9832780530952019
tree_nitrogen_branch_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,1,0.0,0.0,0.0,0.0
tree_root_in_top_30,1,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,1,-4.938693308621031,4.938693308621031,0.6746286989763041,0.20407510066449355
cy0,2,-0.6904146567843628,2.4253703375655133,4.391015642310748,1.0194521501382998
clay,2,-0.20373137128380642,0.3143047860747622,0.7770213586296626,0.22764626457401171
temp_ci_delta,2,-0.00877081433872382,0.1454444365647473,0.28260805805626465,0.06567353397611266
rain_ci_delta,2,1.2526973281737253,2.2338285889363916,3.9747029458811745,1.144892218621582
evap_ci_delta,2,-0.2543031065520838,0.430481473977809,1.0721881555250985,0.31040755637946493
ef_burn_crop_N2O_scale,2,-0.00024922641624018914,0.0014020530064123183,0.0018444832649696155,0.0003714329167160755
ef_burn_crop_CH4_scale,2,-0.0015075344077007057,0.00482347906505518,0.006501911200414979,0.0014668917888622417
ef_burn_tree_N2O_scale,2,0.0006301347932356372,0.0006301347932356372,0.00045272340228777024,0.00012180565484306243
ef_burn_tree_CH4_scale,2,0.0022801317798914144,0.0022801317798914144,0.0015874279873297824,0.0005076551026953815
ef_N_inputs,2,-0.1124341663385597,0.1124341663385597,0.014814660061965322,0.0046479209919723045
combustion_factor_crop,2,-0.0012512126820010128,0.007176639844420363,0.010253720701596528,0.0023120656143934223
combustion_factor_tree,2,0.003292818548671095,0.003292818548671095,0.0019931044342597383,0.0006493433778105975
volatile_frac_organic_fertiliser,2,-0.0028754256509726517,0.0028754256509726517,0.0003055624420981285,8.220332913403722e-05
volatile_frac_synthetic_fertiliser,2,0.01629739688896361,0.01629739688896361,0.001640565438636769,0.0005054828205225959
base_sf_qty_scale,2,-0.12981374696526315,0.12981374696526315,0.01168469711233514,0.0038287183019439374
proj_lit_qty_scale,2,-0.10163649803729977,0.10163649803729977,0.04523056376901057,0.013864130022886634
base_stand_density_scale,2,0.0,0.0,0.0,0.0
proj_stand_density_scale,2,6.594121990493456,6.594121990493456,1.8710284556552654,0.6412661176752251
tree_wood_dens_sp1,2,6.870296829868984,6.870296829868984,1.6375821948004954,0.5004108184349492
base_cover,2,2.0888980639054555,2.0888980639054555,2.727521670550757,0.9440753046580338
base_fire_off,2,-0.024885313060658686,0.024885313060658686,0.0896922103141359,0.023475185917333826
base_fire_on,2,-0.03493285974000169,0.03493285974000169,0.0059561448956418645,0.0018859905989433187
base_mortality,2,0.0,0.0,0.0,0.0
base_sf_n_delta,2,-0.132901632718201,0.132901632718201,0.013646164833617531,0.004551771405151853
base_thinning_delta,2,0.0,0.0,0.0,0.0
crop_base_left_delta,2,0.38053989049262704,0.38053989049262704,0.0943437900750278,0.030411238097332753
crop_base_yield_delta,2,0.37583634813334565,0.37583634813334565,0.10809372936991207,0.029733327368547523
crop_carbon_above_sp3,2,0.002210226070669341,0.017356851958351127,0.02409697708461557,0.004734735755677956
crop_carbon_below_sp3,2,0.016225225536702626,0.02973769925453591,0.03646421471023669,0.008740239237160646
crop_intercept_sp3,2,-0.0021571422357442582,0.010075288009433558,0.013734373359092725,0.003020608280949833
crop_nitrogen_above_sp3,2,-0.0013829849470199385,0.002082364054989139,0.0022678518451465586,0.0005020846647999346
crop_nitrogen_below_sp3,2,-0.003185169132263477,0.003185169132263477,0.0007438279445796771,0.00023880611581121404
crop_carbon_above_sp10,2,-0.011306037962514592,0.03695213660885251,0.049646396774189236,0.012263710656066575
crop_carbon_below_sp10,2,-0.0020402228945420654,0.016878414797953045,0.022701920418936893,0.004719559436885407
crop_intercept_sp10,2,-0.0025312611425976073,0.008261541127190953,0.011188281422670582,0.001963307989937505
crop_nitrogen_above_sp10,2,-0.0002289948243164197,0.001578917215028408,0.0018849667345615991,0.00033062009388434637
crop_nitrogen_below_sp10,2,-8.441088795407836e-05,0.0008590760851015844,0.0011558114040088581,0.0002637245058246521
crop_proj_left_delta,2,-0.38760754509990786,0.38760754509990786,0.1072010416284354,0.03248523755914013
crop_proj_yield_delta,2,-0.4079153290238384,0.4079153290238384,0.1686934901359358,0.0471549233921762
crop_root_in_top_30,2,0.013417306321993871,0.03510944127805229,0.05122887937031873,0.013990997737616296
crop_root_to_shoot_sp3,2,0.015000544177874442,0.023045195048916244,0.027065257967010738,0.0064242445049800395
crop_slope_sp3,2,0.008470570629740192,0.012713059832860685,0.0274187410765568,0.0072366165485302485
crop_root_to_shoot_sp10,2,0.005389159929829979,0.015141234794673709,0.029602270333529728,0.008215346957704102
crop_slope_sp10,2,-0.007256193960031743,0.035179311250534126,0.04563647493976993,0.008360480396288792
cy0_to_ceq_multiplier,2,-0.013289548096878078,0.08303049732943509,0.19833718316812649,0.05068843898667081
litter_carbon,2,-0.12207172446704764,0.12207172446704764,0.03357112182161755,0.010581570879598419
litter_nitrogen,2,0.023840581492757452,0.023840581492757452,0.0026222280512906743,0.000724819217294598
mortality_fraction_branch_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,2,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,2,2.1199974922866334,2.1199974922866334,0.2508292567315806,0.07361611803938059
pool_alloc_leaf_sp1,2,2.5450419190401994,2.5450419190401994,0.25471390667260013,0.07374634994322844
pool_alloc_stem_sp1,2,1.475383993834352,1.5985455945512315,1.314954992066047,0.33115629487706344
pool_turnover_branch_sp1,2,0.43487794519778616,0.43487794519778616,0.07450899966363586,0.020506001885275623
pool_turnover_croot_sp1,2,5.155840806581617,5.155840806581617,0.7765314003002852,0.25140311813540833
pool_turnover_froot_sp1,2,2.258530638044718,2.258530638044718,0.28170669731991915,0.10408418439127387
pool_turnover_leaf_sp1,2,1.487307363493725,1.487307363493725,0.20434246338343307,0.06344925713717903
pool_turnover_stem_sp1,2,19.23518178804216,19.23518178804216,2.860617693550886,0.9272604269777792
proj_cover,2,-3.1076190601292004,3.1076190601292004,4.359396224161112,1.3020913162293697
proj_fire_off,2,0.059734197389792555,0.059734197389792555,0.12463274165293273,0.037697051626390914
proj_fire_on,2,0.06644873313502582,0.06644873313502582,0.007857763630847071,0.0025470416054075695
proj_mortality,2,0.6352066967824496,0.6352066967824496,0.07355391928730622,0.02149254410581809
proj_thinning_delta,2,15.948003965303382,15.948003965303382,10.76200245997578,3.302869423314876
roth_c_cover_c,2,0.02702683610858836,0.07654780929309749,0.20589991032871977,0.0569165792295298
roth_c_dpm_frac_crop,2,0.0009454017470548858,0.06556116454382974,0.10373389596954471,0.023401062648771745
roth_c_dpm_frac_tree,2,0.010884122504662374,0.012171488094587946,0.007248000311990141,0.0014427016456692845
roth_c_moisture_b_slope,2,-0.16220222917940771,0.4119808415522293,0.9079166616472009,0.21358026318555237
roth_c_temp_a1,2,-0.01699838629476329,0.18684425575278138,0.3725392421226985,0.09606722400438639
roth_c_temp_a2,2,-0.1786168690892679,0.4532234972932129,0.7836162083512049,0.2015539383822425
thinning_fraction_branch_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,2,0.0,0.0,0.0,0.0
tree_carbon_sp1,2,6.992913235873583,6.992913235873583,1.8737645045246594,0.6144777272714022
tree_nitrogen_branch_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,2,0.0,0.0,0.0,0.0
tree_root_in_top_30,2,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,2,0.3453801204563796,0.39707241632401424,0.35651140423807737,0.09517857806881809
cy0,3,-0.5411230449858419,1.9608688402999417,3.471673047879707,0.8307607499516803
clay,3,-1.428346173869824,1.4868863085368194,1.7558735759337136,0.5264827024685254
temp_ci_delta,3,1.014159329203164,1.021458423640551,0.39463921201575886,0.10810283043094032
rain_ci_delta,3,5.738200845158464,6.277666167033447,5.463524599114673,1.5876214938567483
evap_ci_delta,3,-1.4648693806269806,1.5983311355745178,1.827482297226925,0.5041018597307477
ef_burn_crop_N2O_scale,3,-0.0002492264162414215,0.0014020530064122849,0.0018444832649702084,0.00037143291671665185
ef_burn_crop_CH4_scale,3,-0.001507534407700839,0.004823479065055714,0.006501911200414941,0.0014668917888620268
ef_burn_tree_N2O_scale,3,0.013293291154785235,0.013293291154785235,0.010366873530886092,0.0030483274301419385
ef_burn_tree_CH4_scale,3,0.04713246210366988,0.04713246210366988,0.036952494425163206,0.012580466850798019
ef_N_inputs,3,0.009110621983095857,0.01652727627798455,0.018319325465213507,0.003618750157575374
combustion_factor_crop,3,-0.001251212681999314,0.007176639844417798,0.010253720701595805,0.0023120656143938273
combustion_factor_tree,3,0.06629465483626813,0.06629465483626813,0.04270746749970543,0.01387843990357048
volatile_frac_organic_fertiliser,3,-0.002875425650973784,0.002875425650973784,0.00030556244209809744,8.220332913392056e-05
volatile_frac_synthetic_fertiliser,3,0.016297396888963478,0.016297396888963478,0.001640565438636017,0.0005054828205224886
base_sf_qty_scale,3,-0.1298137469652645,0.1298137469652645,0.01168469711233451,0.0038287183019436884
