parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,0.7626859762289442,2.4617830066270416,4.113364035367014,1.0237840759196648
clay,1,0.22225820982863062,0.5047321965676229,1.1072096236334033,0.3384220918632497
temp_ci_delta,1,-0.011331678673547785,0.09379522657044284,0.18677781929891157,0.04587198540614193
rain_ci_delta,1,-0.2560572704578849,0.8719010482190835,2.0158506793720106,0.5975751479259955
evap_ci_delta,1,-0.00782806205669644,0.11646907152532435,0.2073749208491111,0.04812933107313472
ef_burn_crop_N2O_scale,1,0.0021730471342149118,0.002241653473793903,0.0015433280003711047,0.00039542507234269767
ef_burn_crop_CH4_scale,1,0.008100512541150096,0.00903338327961194,0.006861904069982331,0.0016253894681120232
ef_burn_tree_N2O_scale,1,0.0034712592601746197,0.0034712592601746197,0.0005225575080265166,0.0001369360450263315
ef_burn_tree_CH4_scale,1,0.011650137118200376,0.011650137118200376,0.0018972984397164958,0.0005851507197447727
ef_N_inputs,1,-0.11243410006632892,0.11243410006632892,0.014779428494166233,0.0046358120946498205
combustion_factor_crop,1,0.011794674954163753,0.011981721579701343,0.008445999204781576,0.00246143851526496
combustion_factor_tree,1,0.01549724719007095,0.01549724719007095,0.002520120937943462,0.000795074885928593
volatile_frac_organic_fertiliser,1,-0.002875425650965724,0.002875425650965724,0.00030556244209960535,8.220332913447926e-05
volatile_frac_synthetic_fertiliser,1,0.016297396888971603,0.016297396888971603,0.0016405654386360852,0.0005054828205233257
base_sf_qty_scale,1,-0.12981374696526302,0.12981374696526302,0.011684697112330649,0.003828718301942245
proj_lit_qty_scale,1,-0.17641819955450905,0.17641819955450905,0.021415816024729827,0.006171294385557186
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.21263235867646,38.21263235867646,3.3346566682222414,1.2044831124599769
tree_wood_dens_sp1,1,-38.77566433376929,38.77566433376929,3.748376198044796,1.1103892732014726
base_cover,1,1.9897105308265826,1.9897105308265826,1.8695677093372864,0.5163274310257933
base_fire_off,1,-0.01965959675174105,0.01965959675174105,0.07097668731042558,0.018562670965623314
base_fire_on,1,-0.028559907333849565,0.028559907333849565,0.005392654850656384,0.0017299944416638406
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.1329016327182,0.1329016327182,0.013646164833620562,0.004551771405152856
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5165616836177221,0.5165616836177221,0.0893704773119321,0.02858061796238763
crop_base_yield_delta,1,0.6694777693428371,0.6694777693428371,0.10774610095731368,0.037365153921471383
crop_carbon_above_sp3,1,0.01311559033449008,0.0197761830440637,0.02121193833265263,0.005308747643979015
crop_carbon_below_sp3,1,0.035724106459568715,0.035724106459568715,0.010568136543743988,0.0038937099945585635
crop_intercept_sp3,1,0.0031355225351710203,0.009391007421033493,0.011308131812489514,0.0021206090314691683
crop_nitrogen_above_sp3,1,-0.0013829849470244683,0.0020823640549910037,0.0022678518451500897,0.0005020846648029761
crop_nitrogen_below_sp3,1,-0.0031851691322508204,0.0031851691322508204,0.0007438279445708289,0.0002388061158094508
crop_carbon_above_sp10,1,0.0,0.0,0.0,0.0
crop_carbon_below_sp10,1,0.0,0.0,0.0,0.0
crop_intercept_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_above_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_below_sp10,1,0.0,0.0,0.0,0.0
crop_proj_left_delta,1,-0.4744231343440447,0.4744231343440447,0.08988045624843288,0.02772836140016108
crop_proj_yield_delta,1,-0.6463411034525415,0.6463411034525415,0.1024859073764661,0.030275885136951737
crop_root_in_top_30,1,0.03443169954084979,0.03759748099449141,0.02710660433100653,0.007575672451749071
crop_root_to_shoot_sp3,1,0.03282951618793284,0.03282951618793284,0.011695204607240238,0.0037455913815755914
crop_slope_sp3,1,0.014329744690954983,0.01505132760134913,0.010732746424359705,0.0030462600070231276
crop_root_to_shoot_sp10,1,0.0,0.0,0.0,0.0
crop_slope_sp10,1,0.0,0.0,0.0,0.0
cy0_to_ceq_multiplier,1,-0.0313467624546039,0.16375548685907299,0.3194946260228284,0.09817336945694619
