parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,0.18414219162356033,1.0465340513466992,1.5673395404412036,0.36826264274011933
clay,1,-0.04250697202387847,0.1530376908812027,0.36987515203311394,0.10639605263217898
temp_ci_delta,1,0.023693033338252435,0.07369160467427208,0.19867317947182087,0.05470794677748281
rain_ci_delta,1,-0.11162113090438304,0.8333292685145576,1.381723523036712,0.30347877178283905
evap_ci_delta,1,-0.22295554275769297,0.3738328715802329,1.0758514986520495,0.3109254627410561
ef_burn_crop_N2O_scale,1,0.002173047134220241,0.002241653473799232,0.0015433280003725456,0.0003954250723432545
ef_burn_crop_CH4_scale,1,0.00810051254113624,0.009033383279598083,0.006861904069973313,0.001625389468108036
ef_burn_tree_N2O_scale,1,0.003471259260171422,0.003471259260171422,0.0005225575080286455,0.00013693604502714569
ef_burn_tree_CH4_scale,1,0.011650137118203573,0.011650137118203573,0.0018972984397132154,0.0005851507197439952
ef_N_inputs,1,-0.11243410006632679,0.11243410006632679,0.014779428494163981,0.004635812094648531
combustion_factor_crop,1,0.011794674954157359,0.011981721579694949,0.008445999204783259,0.00246143851526635
combustion_factor_tree,1,0.015497247190068819,0.015497247190068819,0.0025201209379411877,0.0007950748859272971
volatile_frac_organic_fertiliser,1,-0.0028754256509678556,0.0028754256509678556,0.00030556244209800333,8.220332913355323e-05
volatile_frac_synthetic_fertiliser,1,0.016297396888962014,0.016297396888962014,0.0016405654386386528,0.0005054828205233068
base_sf_qty_scale,1,-0.1298137469652641,0.1298137469652641,0.01168469711234191,0.003828718301945527
proj_lit_qty_scale,1,-0.1863842223437729,0.1863842223437729,0.02586822906741131,0.007684858956309574
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.21263235867647,38.21263235867647,3.334656668222245,1.2044831124599775
tree_wood_dens_sp1,1,-38.7756643337693,38.7756643337693,3.748376198044793,1.1103892732014728
base_cover,1,0.9127025022660888,0.9127025022660888,1.2057145825229987,0.31518234355283836
base_fire_off,1,-0.019659596751739984,0.019659596751739984,0.07097668731042105,0.018562670965622006
base_fire_on,1,-0.028559907333849565,0.028559907333849565,0.005392654850658231,0.0017299944416637627
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.13290163271820318,0.13290163271820318,0.013646164833620477,0.004551771405153685
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5511466209558978,0.5511466209558978,0.09469398702401335,0.030694662256816038
crop_base_yield_delta,1,0.7095874478436208,0.7095874478436208,0.11286564463119785,0.0360449533277299
crop_carbon_above_sp3,1,0.01369540640567557,0.02133912954766437,0.022901179590785095,0.005516204336154655
crop_carbon_below_sp3,1,0.03825634705043868,0.03825634705043868,0.010277711176865274,0.00362973336950781
crop_intercept_sp3,1,0.00227981538326425,0.009636832137636376,0.011620508915032943,0.002012564363012809
crop_nitrogen_above_sp3,1,-0.0013829849470223365,0.0020823640549931357,0.0022678518451523582,0.0005020846648030015
crop_nitrogen_below_sp3,1,-0.003185169132252952,0.003185169132252952,0.0007438279445776074,0.00023880611581129845
crop_carbon_above_sp10,1,0.0,0.0,0.0,0.0
crop_carbon_below_sp10,1,0.0,0.0,0.0,0.0
crop_intercept_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_above_sp10,1,0.0,0.0,0.0,0.0
crop_nitrogen_below_sp10,1,0.0,0.0,0.0,0.0
crop_proj_left_delta,1,-0.5057918008667152,0.5057918008667152,0.09887131994164569,0.028877818880465696
crop_proj_yield_delta,1,-0.6911892922562561,0.6911892922562561,0.11664537895107319,0.0343807674094602
crop_root_in_top_30,1,0.03566545377900461,0.039456845834789436,0.02891351876765715,0.007709066413850026
crop_root_to_shoot_sp3,1,0.03426888849048879,0.03426888849048879,0.011944694164478993,0.0038430527003859255
crop_slope_sp3,1,0.015857437940398712,0.016563825725287272,0.012196369147215723,0.003376103073411582
crop_root_to_shoot_sp10,1,0.0,0.0,0.0,0.0
crop_slope_sp10,1,0.0,0.0,0.0,0.0
cy0_to_ceq_multiplier,1,-0.025167009459903866,0.08785423755666635,0.19838553503030676,0.06281396736586438
litter_carbon,1,-0.22074202566346984,0.22074202566346984,0.0226632789761115,0.006677451307057211
litter_nitrogen,1,0.02384058149276811,0.02384058149276811,0.0026222280512972827,0.0007248192172955755
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.699853116710977,2.699853116710977,0.29433293411139705,0.08594135712122718
pool_alloc_leaf_sp1,1,-2.680496661875217,2.680496661875217,0.2517196613289546,0.07295259287394965
pool_alloc_stem_sp1,1,-4.941600272259089,4.941600272259089,0.6024926366083817,0.20072832576994828
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-0.8945825810263507,0.8945825810263507,1.108839299418008,0.34437740659638577
proj_fire_off,1,0.0,0.0,0.0,0.0
proj_fire_on,1,0.05962400079772934,0.05962400079772934,0.006719354494729279,0.0021669664707737006
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
