parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,-0.052158851903175575,1.0962604731320187,1.365979097387348,0.2292555864196281
clay,1,0.03563896728993114,0.19957297338807223,0.4490357909710459,0.1317268198330363
temp_ci_delta,1,-0.014877243826699171,0.08500791655311382,0.1594265558266463,0.040855234897543044
rain_ci_delta,1,-0.03648727170326538,0.15393543034178947,0.31555590527974403,0.08096062741358896
evap_ci_delta,1,0.01476373000708051,0.02680350317877398,0.06976317155953356,0.01996449818676437
ef_burn_crop_N2O_scale,1,-0.000249226416239523,0.0014020530064012605,0.0018444832649597827,0.0003714329167136315
ef_burn_crop_CH4_scale,1,-0.0015075344077065012,0.004823479065050052,0.006501911200408608,0.0014668917888618098
ef_burn_tree_N2O_scale,1,0.0006301347932449631,0.0006301347932449631,0.0004527234022921384,0.000121805654844226
ef_burn_tree_CH4_scale,1,0.0022801317798936795,0.0022801317798936795,0.0015874279873346376,0.0005076551026970267
ef_N_inputs,1,-0.11243416633856036,0.11243416633856036,0.014814660061970028,0.0046479209919730435
combustion_factor_crop,1,-0.0012512126819974156,0.007176639844422894,0.010253720701601762,0.0023120656143964064
combustion_factor_tree,1,0.003292818548671761,0.003292818548671761,0.001993104434263773,0.0006493433778111378
volatile_frac_organic_fertiliser,1,-0.002875425650969987,0.002875425650969987,0.0003055624420970942,8.220332913375864e-05
volatile_frac_synthetic_fertiliser,1,0.01629739688895988,0.01629739688895988,0.001640565438640084,0.0005054828205239737
base_sf_qty_scale,1,-0.1298137469652641,0.1298137469652641,0.011684697112336658,0.0038287183019456834
proj_lit_qty_scale,1,-0.1623042001642144,0.1623042001642144,0.017276561348101536,0.005192202072133263
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.21263235867647,38.21263235867647,3.334656668222239,1.2044831124599755
tree_wood_dens_sp1,1,-38.77566433376929,38.77566433376929,3.7483761980448014,1.1103892732014768
base_cover,1,0.9371685707831876,0.9371685707831876,0.9827127271140655,0.3069851788484146
base_fire_off,1,-0.02488531306065802,0.02488531306065802,0.08969221031413324,0.023475185917333195
base_fire_on,1,-0.034932859739996755,0.034932859739996755,0.005956144895643667,0.0018859905989431827
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.1329016327182,0.1329016327182,0.013646164833614036,0.004551771405150427
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5642026137431941,0.5642026137431941,0.08114533794833245,0.025733891418068727
crop_base_yield_delta,1,0.6262145422002281,0.6262145422002281,0.08402474371468807,0.02872518266816215
crop_carbon_above_sp3,1,0.011189830035251092,0.01704125457633161,0.018289213221914683,0.00448636487634645
crop_carbon_below_sp3,1,0.03167231390388388,0.03167231390388388,0.008144309814714264,0.002870123532289487
crop_intercept_sp3,1,-0.00039419084237941605,0.008221515725598394,0.01012658876613319,0.0017363852612497135
crop_nitrogen_above_sp3,1,-0.0013829849470159417,0.0020823640549867406,0.0022678518451496733,0.0005020846648010179
crop_nitrogen_below_sp3,1,-0.003185169132258281,0.003185169132258281,0.0007438279445812393,0.00023880611581112915
crop_carbon_above_sp10,1,-0.010776165597794929,0.036702229807378826,0.04408672437658422,0.008567480846603836
crop_carbon_below_sp10,1,0.0025104707772744205,0.01608671523123597,0.018869322068883542,0.003155661303704006
crop_intercept_sp10,1,-0.0017011774117776212,0.007435585483946738,0.008986474994127015,0.001573492032572098
crop_nitrogen_above_sp10,1,-0.0002289948243038964,0.001578917215031339,0.0018849667345605097,0.0003306200938810079
crop_nitrogen_below_sp10,1,-8.441088795194674e-05,0.0008590760851085122,0.0011558114040117382,0.00026372450582359255
crop_proj_left_delta,1,-0.5435150214759045,0.5435150214759045,0.07533320770163247,0.02059107396682042
crop_proj_yield_delta,1,-0.6363574334588759,0.6363574334588759,0.11380935234759496,0.031273850136652605
crop_root_in_top_30,1,0.02953364013507631,0.03304147884744459,0.025900377209137966,0.0067809362157664616
crop_root_to_shoot_sp3,1,0.02847940115458094,0.02847940115458094,0.008173299496836121,0.0027150568517084646
crop_slope_sp3,1,0.010116364633212882,0.011322880931394863,0.009260344508508494,0.002458880497969298
crop_root_to_shoot_sp10,1,0.0012883252670985,0.011355027067972045,0.014432896024938737,0.0025713407023609854
crop_slope_sp10,1,-0.004687079613430711,0.04347056477385536,0.050106399642875686,0.006784244328422967
cy0_to_ceq_multiplier,1,0.00884218139609345,0.062309200942416966,0.1103376508792944,0.032034334854635346
litter_carbon,1,-0.1875689265821741,0.1875689265821741,0.015842278398903977,0.004956944917814682
litter_nitrogen,1,0.02384058149276811,0.02384058149276811,0.0026222280512919424,0.0007248192172946521
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.6998531167109783,2.6998531167109783,0.29433293411139494,0.08594135712122683
pool_alloc_leaf_sp1,1,-2.680496661875216,2.680496661875216,0.25171966132895135,0.07295259287394829
pool_alloc_stem_sp1,1,-4.941600272259086,4.941600272259086,0.6024926366083779,0.2007283257699474
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-0.9867350631270082,0.9867350631270082,0.8753570486719301,0.25897860596033084
proj_fire_off,1,0.05973419738978976,0.05973419738978976,0.12463274165292722,0.037697051626389116
proj_fire_on,1,0.06644873313503155,0.06644873313503155,0.007857763630849574,0.002547041605407997
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
roth_c_cover_c,1,0.04714522404049433,0.14315303482404715,0.23663716657441308,0.05961611276319425
roth_c_dpm_frac_crop,1,-0.022894725342903044,0.04379885085034481,0.04927965410127419,0.010384493799299486
roth_c_dpm_frac_tree,1,0.01846214072863326,0.01846214072863326,0.007180306003711663,0.0021147255166721005
roth_c_moisture_b_slope,1,0.001787085463561411,0.02993549346827784,0.06755429850315721,0.017124313606923697
roth_c_temp_a1,1,0.03710214156282739,0.11369938071797314,0.1724156223340306,0.04051992715607347
roth_c_temp_a2,1,-0.05613984833121215,0.203485883248074,0.26967487104860816,0.05369236721259722
thinning_fraction_branch_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,1,0.0,0.0,0.0,0.0
tree_carbon_sp1,1,-38.27817189409821,38.27817189409821,3.3349569586826546,0.983278053095201
tree_nitrogen_branch_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,1,0.0,0.0,0.0,0.0
tree_root_in_top_30,1,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,1,-4.938693308621029,4.938693308621029,0.6746286989763041,0.20407510066449366
cy0,2,-0.06533610691799323,0.26741228799614714,0.36619522683590167,0.06744943391507312
clay,2,-0.07641692832546684,0.1288722300037378,0.21669299017623295,0.059497673744867384
temp_ci_delta,2,0.05589301782698301,0.05783874055444764,0.048871590720727054,0.014473530854600786
rain_ci_delta,2,0.04139802161370052,0.08354875964578272,0.1515918101728421,0.038671811705481444
evap_ci_delta,2,-0.005149243983619467,0.009846385034280213,0.0179725624844996,0.00483625074653316
ef_burn_crop_N2O_scale,2,-0.00024922641624165466,0.0014020530064113856,0.0018444832649687003,0.00037143291671628637
ef_burn_crop_CH4_scale,2,-0.001507534407702371,0.004823479065054981,0.006501911200414669,0.0014668917888620886
ef_burn_tree_N2O_scale,2,0.0006301347932349711,0.0006301347932349711,0.0004527234022864747,0.00012180565484273985
ef_burn_tree_CH4_scale,2,0.0022801317798908814,0.0022801317798908814,0.001587427987330417,0.0005076551026955058
ef_N_inputs,2,-0.11243416633855982,0.11243416633855982,0.014814660061965476,0.004647920991972222
combustion_factor_crop,2,-0.0012512126820004798,0.007176639844420097,0.010253720701596782,0.0023120656143938026
combustion_factor_tree,2,0.003292818548671761,0.003292818548671761,0.0019931044342596117,0.0006493433778105368
volatile_frac_organic_fertiliser,2,-0.002875425650973851,0.002875425650973851,0.0003055624420981868,8.220332913400258e-05
volatile_frac_synthetic_fertiliser,2,0.01629739688896161,0.01629739688896161,0.0016405654386368084,0.0005054828205226843
base_sf_qty_scale,2,-0.12981374696526368,0.12981374696526368,0.011684697112335024,0.003828718301943776
proj_lit_qty_scale,2,-0.06767416327042541,0.06767416327042541,0.017382635319629643,0.005239653441038425
base_stand_density_scale,2,0.0,0.0,0.0,0.0
proj_stand_density_scale,2,6.594121990493457,6.594121990493457,1.8710284556552657,0.6412661176752257
tree_wood_dens_sp1,2,6.870296829868984,6.870296829868984,1.6375821948004954,0.5004108184349493
base_cover,2,0.2767977105077116,0.2767977105077116,0.1873719010146054,0.05903644265859883
base_fire_off,2,-0.024885313060658554,0.024885313060658554,0.0896922103141356,0.023475185917333722
base_fire_on,2,-0.03493285974000195,0.03493285974000195,0.005956144895643658,0.0018859905989436002
base_mortality,2,0.0,0.0,0.0,0.0
base_sf_n_delta,2,-0.13290163271820185,0.13290163271820185,0.013646164833617287,0.004551771405151983
base_thinning_delta,2,0.0,0.0,0.0,0.0
crop_base_left_delta,2,0.3114919010417109,0.3114919010417109,0.05791365162032949,0.01825603152912119
crop_base_yield_delta,2,0.29334484425802987,0.29334484425802987,0.06492542719474802,0.020698984323976648
crop_carbon_above_sp3,2,0.006098353411090773,0.009470698347619688,0.010364884329461636,0.0025679041723833044
crop_carbon_below_sp3,2,0.016929983608835242,0.016929983608835242,0.0052194022171391605,0.0018567772355736457
crop_intercept_sp3,2,-0.00038497949967775114,0.004697323001995013,0.005877633827045575,0.0010984011002834666
crop_nitrogen_above_sp3,2,-0.0013829849470206046,0.0020823640549895383,0.0022678518451476146,0.0005020846648003902
crop_nitrogen_below_sp3,2,-0.003185169132261212,0.003185169132261212,0.000743827944579199,0.00023880611581113633
crop_carbon_above_sp10,2,-0.005609050095363832,0.02028131869345686,0.024146672249397014,0.004530891544873796
crop_carbon_below_sp10,2,0.0012764116016224848,0.008573280476831702,0.010077169623061334,0.0017019997981281745
crop_intercept_sp10,2,-0.0010201340667685076,0.0041720736612920195,0.005111676939314059,0.0009256094402860566
crop_nitrogen_above_sp10,2,-0.00022899482431562034,0.0015789172150281416,0.0018849667345616128,0.000330620093884387
crop_nitrogen_below_sp10,2,-8.441088795314577e-05,0.0008590760851035828,0.0011558114040102151,0.000263724505824758
crop_proj_left_delta,2,-0.2996963996907365,0.2996963996907365,0.05164576438003527,0.015624712081523901
crop_proj_yield_delta,2,-0.3038170590046534,0.3038170590046534,0.0831062855576993,0.022344153814900923
crop_root_in_top_30,2,0.01475538182559628,0.01677909929914918,0.013690566141984564,0.003580625047387964
crop_root_to_shoot_sp3,2,0.013452558353101818,0.013452558353101818,0.0050953105550332126,0.001654868136018655
crop_slope_sp3,2,0.003942235979804076,0.005216242083311196,0.005409493192595002,0.0013773248275583939
crop_root_to_shoot_sp10,2,0.0005688350854760937,0.005761095134660321,0.007386028930460646,0.0013691570397848499
crop_slope_sp10,2,-0.0014981007676653669,0.021866321654630826,0.025266682575916292,0.0032928622307164526
cy0_to_ceq_multiplier,2,-0.00553169042848225,0.025393222255560045,0.04933386126046491,0.014643198950794682
litter_carbon,2,-0.09522807431697959,0.09522807431697959,0.014498020911627748,0.004446913098215928
litter_nitrogen,2,0.02384058149275665,0.02384058149275665,0.002622228051290488,0.0007248192172940166
mortality_fraction_branch_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,2,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,2,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,2,2.119997492286634,2.119997492286634,0.2508292567315807,0.07361611803938051
pool_alloc_leaf_sp1,2,2.5450419190402007,2.5450419190402007,0.2547139066726011,0.07374634994322841
pool_alloc_stem_sp1,2,1.4753839938343538,1.598545594551233,1.3149549920660475,0.3311562948770634
pool_turnover_branch_sp1,2,0.4348779451977876,0.4348779451977876,0.07450899966363692,0.0205060018852761
pool_turnover_croot_sp1,2,5.155840806581617,5.155840806581617,0.7765314003002862,0.25140311813540833
pool_turnover_froot_sp1,2,2.2585306380447188,2.2585306380447188,0.28170669731991976,0.1040841843912743
pool_turnover_leaf_sp1,2,1.487307363493725,1.487307363493725,0.20434246338343537,0.06344925713717946
pool_turnover_stem_sp1,2,19.23518178804216,19.23518178804216,2.8606176935508882,0.9272604269777799
proj_cover,2,-0.32401230456469315,0.32401230456469315,0.2857418903318888,0.07228047668027264
proj_fire_off,2,0.059734197389792285,0.059734197389792285,0.12463274165293192,0.0376970516263908
proj_fire_on,2,0.06644873313502594,0.06644873313502594,0.007857763630847173,0.00254704160540758
proj_mortality,2,0.6352066967824491,0.6352066967824491,0.07355391928730788,0.021492544105818183
proj_thinning_delta,2,15.948003965303386,15.948003965303386,10.762002459975777,3.302869423314875
roth_c_cover_c,2,0.02057296072816377,0.07100462242548641,0.12086165130236001,0.028063502281093385
roth_c_dpm_frac_crop,2,-0.008631147674756612,0.01950563986730236,0.022722565193952153,0.004450685888337447
roth_c_dpm_frac_tree,2,0.006460038692447334,0.006817222408438894,0.003261964576333274,0.0009192796098138748
roth_c_moisture_b_slope,2,-0.007966704924798363,0.011804647723339423,0.025086230373300083,0.006539700845551252
roth_c_temp_a1,2,0.07448358647272513,0.09509634255463281,0.09338637004911748,0.02196561565688995
roth_c_temp_a2,2,-0.181006307034971,0.19836089701376686,0.1618625604030736,0.039186754586201036
thinning_fraction_branch_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,2,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,2,0.0,0.0,0.0,0.0
tree_carbon_sp1,2,6.99291323587358,6.99291323587358,1.8737645045246578,0.6144777272714016
tree_nitrogen_branch_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,2,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,2,0.0,0.0,0.0,0.0
tree_root_in_top_30,2,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,2,0.34538012045637856,0.39707241632401213,0.35651140423807604,0.09517857806881812
