temp,rain,evap,temp_std,rain_std,evap_std,base_cover,proj_cover
20.728172043010755,124.74333333333333,164.36622222222223,0.4667031796107575,52.80863097777792,11.633427715367663,1,1
21.17415024630542,103.43999999999997,159.0817777777778,0.5846617223491272,34.52533902053329,10.67239600920369,1,1
21.074301075268814,134.14666666666668,169.76000000000002,0.5583788317580847,50.22112300021077,10.273981570842318,1,1
20.554000000000006,139.66666666666666,146.57688888888887,0.4625602580606823,45.52912923827341,11.359220702498543,1,1
20.92451612903226,45.473333333333336,160.80400000000003,0.541649111263959,32.693824507382736,10.437512159352368,1,1
21.185888888888893,4.073333333333333,170.25200000000004,0.4706461551107823,6.824496107877619,11.08340257864463,1,1
21.606236559139784,2.006666666666667,197.7146666666667,0.5863806052118966,4.409232737487707,10.24691313578194,1,1
22.440967741935484,12.413333333333336,201.07155555555562,0.5895492968883526,13.06048880463867,17.267912788064294,1,1
22.631666666666668,33.27333333333333,195.12888888888892,0.8637203455106532,22.162937893969605,18.511695078019137,1,1
22.036666666666672,88.11333333333333,186.2244444444444,0.6985714488903264,47.53198366641527,15.70823873768483,1,1
20.65011111111111,151.37333333333336,151.15155555555552,0.443079162584668,47.46095987908039,11.761248654398912,1,1
20.41204301075269,144.83333333333337,155.9302222222222,0.4071986120182337,53.449140074585344,9.718907706050253,1,1
