lat,lon,kg_class,ttc,landcover_crop_frac,koppen_geiger,ocs,clay,ocs_q05,ocs_q95,clay_q05,clay_q95
-19.90209169499442,48.65728262150029,1,10.617433817087418,0.6299901780805464,1,67,388.1666564941406,14.0,139.0,17.333333333333332,880.3333333333334
-3.4991324013568894,105.25119881230046,1,13.992013830158474,0.7916253939762286,1,56,378.1666564941406,12.0,134.0,15.5,893.0
5.107226932463183,100.4542227538329,1,62.24967047784472,0.7982069544611032,1,57,486.8333435058594,10.0,136.0,23.0,948.0
7.71181015328619,100.02298309095411,1,23.38641651326035,0.6250589575945819,1,49,286.8333435058594,17.0,108.0,23.0,760.8333333333334
-5.170104716417823,105.05368293113808,1,11.002537466534177,0.9411730124075534,1,59,435.0,14.0,139.0,66.33333333333333,857.3333333333334
9.975972222385971,124.3851256279188,1,21.01524032681854,0.7572167210719591,1,46,388.0,12.0,101.0,23.666666666666668,862.5
19.407974248161032,-69.97407763491306,1,14.900157993450405,0.8171026988490299,1,68,453.0,17.0,134.0,33.833333333333336,896.6666666666666
-3.553118737810959,114.62921896072253,1,16.86657733394206,0.942996994999703,1,58,389.1666564941406,13.0,134.0,9.5,919.3333333333334
-4.8646161623473,105.28676460230274,1,13.63519799081589,0.6835535422853433,1,48,422.8333435058594,14.0,127.0,18.0,918.5
-7.271679042906868,111.66516530847596,2,20.71391095200773,0.6219070271968428,2,54,335.8333435058594,11.0,138.0,16.166666666666668,874.5
18.02470759216948,96.77122823873928,2,32.11648270809563,0.9495036136703529,2,49,294.5,11.0,120.0,5.666666666666667,882.8333333333334
19.910983142495,72.98385936846269,2,25.13384320336007,0.8314911402445819,2,50,402.3333435058594,8.0,229.0,31.666666666666668,758.5
20.00116846130094,73.03784124581571,2,27.380301000693915,1.0,2,52,362.8333435058594,8.0,229.0,18.5,815.0
12.185519221783156,102.71775163058308,2,14.732605633884155,0.9514645335688195,2,51,352.3333435058594,17.0,108.0,32.0,867.3333333333334
14.575432399691168,74.77994514088121,2,12.675919496555034,0.8321569765014993,2,57,279.1666564941406,11.0,151.0,20.5,786.0
12.437021439399608,102.3404983041584,2,28.306034419821334,0.627014981640001,2,54,413.0,9.0,129.0,28.5,947.1666666666666
16.569671704722715,95.42352737275,2,26.06083646903169,0.977403640449442,2,56,328.1666564941406,11.0,161.0,5.5,915.0
-16.776083492486723,-63.66807935254465,2,45.31097361233582,1.0,2,47,315.0,9.0,111.0,18.666666666666668,806.0
18.455947255048237,96.64547267082996,2,55.2139996386739,1.0,2,45,347.0,13.0,111.0,9.0,921.8333333333334
0.4175858954530996,34.78713731723055,2,29.444977963430905,0.7651717036274309,2,57,422.8333435058594,13.0,108.0,77.0,844.6666666666666
22.42664742921124,91.97424772117064,2,13.315579469724351,0.9172109535729066,2,39,332.0,10.0,102.0,16.333333333333332,879.0
16.066667269489805,74.07942036538486,2,14.105853930681276,1.0,2,57,338.8333435058594,12.0,207.0,28.0,895.5
-22.79500930813535,-54.64889644319656,2,11.892454061993032,0.6726408184780205,2,29,302.5,9.0,77.0,33.0,839.8333333333334
17.683020055747082,96.7890111337404,2,10.418417874316589,0.9167451483203064,2,60,300.3333435058594,12.0,147.0,6.333333333333333,889.0
16.47948638591677,107.5509311305036,2,16.028714629572967,0.8916592138073139,2,53,297.3333435058594,13.0,116.0,16.166666666666668,859.6666666666666
-22.03986500383534,-54.469163457035314,2,24.075575416543625,0.689456210271559,2,41,396.3333435058594,13.0,86.0,46.833333333333336,846.3333333333334
15.958699055682724,95.47750925010304,2,50.4969213601624,0.7869163341308709,2,59,323.5,10.0,189.0,5.166666666666667,915.1666666666666
-22.722606884330546,-54.99058843872002,2,17.424250495283456,0.9827836492300032,2,35,462.0,9.0,77.0,47.0,861.3333333333334
16.91072604879552,97.90299267711436,2,17.772368561820386,0.995807420527815,2,55,303.5,13.0,173.0,5.5,891.0
7.748009135638063,81.10435951060036,2,24.786986091654548,0.9579399532588768,2,57,323.6666564941406,13.0,135.0,5.333333333333333,903.0
13.353482642510128,104.4604887179982,3,28.78045096207097,1.0,3,45,412.0,9.0,101.0,16.333333333333332,943.1666666666666
17.68302005574708,77.27783099169739,3,10.963741200249627,0.6014842356850377,3,30,358.3333435058594,10.0,68.0,40.166666666666664,847.0
19.31842658080573,-102.51133984281908,3,28.10359858461068,0.9081990246570744,3,40,331.3333435058594,12.0,104.0,65.16666666666667,615.0
9.508533577155347,13.084197529892531,3,31.320470133308188,0.913918246155744,3,29,339.3333435058594,7.0,79.0,21.5,831.3333333333334
8.52030314258962,9.14906314573181,3,14.401318745028725,1.0,3,25,191.8333282470703,11.0,52.0,20.666666666666668,515.3333333333334
17.539486051937715,80.00816086222754,3,16.44586686564551,0.7249011327579424,3,37,300.0,12.0,86.0,18.833333333333332,767.3333333333334
10.838451548143476,79.19966787292411,3,41.34521464267106,0.6388146202707017,3,44,426.1666564941406,11.0,96.0,43.333333333333336,913.5
13.78472230538888,103.65199572869474,3,15.18025448575617,1.0,3,46,370.0,10.0,112.0,12.666666666666666,938.3333333333334
23.21672433116393,74.36712602445425,3,13.450773104946666,0.9729270964257436,3,25,277.6666564941406,5.0,52.0,10.333333333333334,799.8333333333334
21.150715794677183,80.74488907917682,3,23.26312920619739,1.0,3,35,407.8333435058594,8.0,77.0,30.833333333333332,865.6666666666666
21.65372022991008,80.259663079844,3,10.244361658465056,1.0,3,37,463.0,7.0,81.0,29.0,859.1666666666666
15.778961610420422,105.01747948968514,3,33.72024362556286,0.81092847309768,3,50,163.5,13.0,119.0,9.333333333333334,743.5
21.527969121101854,83.36788838735055,3,49.13161941156036,1.0,3,47,395.8333435058594,9.0,170.0,24.666666666666668,883.6666666666666
10.927999215498776,0.0943144463814337,3,12.922709900345698,1.0,3,27,198.8333282470703,10.0,57.0,38.333333333333336,662.3333333333334
21.65372022991008,78.98436463765952,3,68.915806522754,0.8305646195146799,3,36,446.1666564941406,7.0,69.0,25.5,841.1666666666666
