Sc,pool,TO,AL,THf,DTf
1,leaf,1,0.1,1,1
1,branch,0.05,0.31,0,0
1,stem,0,0.69,0,0
1,croot,0,0,1,1
1,froot,0.8,0.1,1,1
2,leaf,1,0.1,1,1
2,branch,0.05,0.31,0,0
2,stem,0,0.69,0,0
2,croot,0,0,1,1
2,froot,0.8,0.1,1,1
3,leaf,1,0.1,1,1
3,branch,0.05,0.31,0,0
3,stem,0,0.69,0,0
3,croot,0,0,1,1
3,froot,0.8,0.1,1,1
